#Timestamp	CPU cycles	L1 Data Cache access	L1 Instructions Cache access	L2 Data Cache access	Bus Access
1357346425507842994	30104300	4734219	7047701	674692	269233
1357346426008398896	8522131	1422699	2223057	171077	34634
1357346426508855132	5557681	913743	1420815	113043	21205
1357346427009311117	8572622	1423743	2203604	173489	28301
1357346427509740728	14988431	2499677	3913175	283760	86604
1357346428010221964	8976806	1481315	2307793	180191	42144
1357346428510670491	8459250	1422274	2164469	177751	26728
1357346429011118310	8812910	1479938	2265560	186080	29648
1357346429511564171	8442370	1406285	2152327	176896	26032
1357346430012051198	8758676	1470409	2286097	177802	27176
1357346430512499642	8736933	1459804	2272986	173580	29735
1357346431012946545	6340548	1026021	1601515	127338	21120
1357346431513391489	8490055	1428841	2227745	167845	26107
1357346432013836183	8822324	1489458	2308468	180722	28830
1357346432514280752	8407781	1420878	2219233	165377	25996
1357346433014859362	17708127	2995898	4655925	338599	66429
1357346433515305556	8440743	1422739	2217411	166725	25756
1357346434015753167	8777506	1476371	2294709	175303	28008
1357346434516198736	8454675	1418319	2201597	168365	28527
1357346435016708971	8590616	1483210	2308955	174985	27795
1357346435517156249	8244804	1412503	2210721	164579	24965
1357346436017603526	6379382	1023359	1586216	131989	21929
1357346436518036304	8724410	1472570	2295998	172577	26936
1357346437018473039	8654789	1469290	2275722	173725	26460
1357346437518910609	8422555	1419138	2211751	168109	25412
1357346438019486594	11168801	1866951	2882872	226556	47159
1357346438519964496	8666669	1447317	2246755	172369	28793
1357346439020402065	8801782	1484352	2308153	176175	28626
1357346439520837259	8481127	1434555	2228194	168189	25577
1357346440021296995	13760332	2032640	3121387	265543	49853
1357346440521791439	9891080	1642481	2555946	196757	31744
1357346441022287716	8280305	1334573	2091411	165420	28576
1357346441522785993	10435200	1732164	2696915	207467	33787
1357346442023291062	10470857	1731665	2692642	211316	34279
1357346442523785839	10717787	1777874	2770518	216187	36815
1357346443024349783	12937202	2119270	3279546	259784	60371
1357346443524843644	10205550	1692631	2651603	199680	33155
1357346444025333254	22516236	3762290	5703058	442246	258442
1357346444525913448	9960182	1669883	2608109	196572	33525
1357346445026501058	10579366	1738223	2713592	209560	41392
1357346445527136002	8456736	1370993	2150092	169929	27707
1357346446027729987	10154027	1665235	2604727	201139	34602
1357346446528308722	10163907	1678089	2616130	199804	36777
1357346447028891582	10409806	1721387	2696301	207286	35247
1357346447529470484	10306769	1712222	2673190	202682	32801
1357346448030147636	13518029	2189865	3392246	272751	67762
1357346448530723788	10243400	1699739	2652552	201568	33610
1357346449031302023	10443847	1737838	2705528	209761	34823
1357346449531935217	12508140	2062152	3191890	253224	56010
1357346450032519868	10571653	1744021	2719064	210574	38720
1357346450533096187	7845317	1253958	1979081	156492	27408
1357346451033670006	10235791	1698777	2658617	203519	33856
1357346451534241533	9927395	1648199	2579395	196352	32498
1357346452034823851	10641348	1756428	2744593	212496	36825
1357346452535413128	10273709	1704123	2664791	201764	33668
1357346453036060572	11742657	1954603	3029525	242647	52487
1357346453536569515	9818893	1647535	2576615	194938	32156
1357346454037157917	29828845	4598730	7429614	525626	184282
1357346454537669569	84827918	14177147	23070028	1434342	391342
1357346455038184180	44505714	7320689	11986260	747497	245405
1357346455538766624	46770481	7757338	12531536	803961	219152
1357346456039283776	57775120	9669078	15636870	976579	260397
1357346456539851261	53396532	8980229	14496262	903856	227001
1357346457040376747	50003679	8393749	13561489	850909	221105
1357346457540894982	50792222	8568920	13844372	861542	211759
1357346458041608342	61109176	10307906	16661707	1038433	271006
1357346458542158952	49288976	8275124	13358003	842284	215424
1357346459042652104	50617159	8386510	13469412	891951	238166
1357346459543171673	39300162	6489371	10557803	667785	203559
1357346460043713284	38591072	6287934	10332880	651317	238002
1357346460544202978	53541795	9001501	14596987	903359	221355
1357346461044719963	73646516	12049544	19599312	1270134	415623
1357346461545229782	43148298	6995863	11557739	708484	285817
1357346462045752017	60102853	10142225	16330337	1038634	236257
1357346462549499117	48665440	8548555	14810715	783096	231949
1357346463050149060	61969922	10254900	16837679	1059105	336229
1357346463550659004	65886759	11100170	18003445	1121131	274385
1357346464051185406	49639524	8305384	13479151	846493	229618
1357346464551784142	54451390	9150069	14845299	932228	236114
1357346465052302585	52975402	8777322	14359234	890222	272235
1357346465552819446	44164166	7238982	11760609	764390	247900
1357346466053385681	58051590	9734302	15760160	988361	249869
1357346466553922583	49834540	8275986	13560111	843709	265373
1357346467054490610	52183650	8702467	14165233	885514	253897
1357346467554991304	49019012	8152708	13307018	826344	244955
1357346468055695164	47408373	7866134	12849726	799536	258672
1357346468556178316	33744608	5597365	9154660	575060	186398
1357346469056735677	31090102	5206570	8409848	540331	146693
1357346469557251495	54185186	9123800	14482876	972926	207076
1357346470057800272	26192565	4328926	7012770	456682	126810
1357346470558310050	55281419	9324703	15065951	950407	219269
1357346471058820160	51548078	8650343	13785552	933650	200478
1357346471559334354	42086425	7001456	11311153	737611	202599
1357346472059842423	39040414	6383038	10518196	654595	244942
1357346472560347908	40830325	6747172	10973439	698146	221640
