#Benchmark	runtime	CPU Frequency(MHz)
consumer_tiff2rgba	117.8427054070	1300000
consumer_tiffdither	46.1262863690	1300000
consumer_tiffmedian	50.2010858350	1300000
network_dijkstra	10.6343550930	1300000
network_patricia	28.8650432210	1300000
office_ghostscript	53.4400195550	1300000
office_ispell	70.1838955180	1300000
office_rsynth	19.7182966240	1300000
office_stringsearch1	16.2298675200	1300000
security_blowfish_d	29.0250921870	1300000
security_blowfish_e	29.1337106450	1300000
security_pgp_d	259.6148227970	1300000
security_pgp_e	47.0910206100	1300000
security_rijndael_d	287.9159381070	1300000
security_rijndael_e	294.8531040320	1300000
security_sha	56.4559557470	1300000
telecom_adpcm_c	20.3739425340	1300000
telecom_adpcm_d	31.1480435560	1300000
telecom_CRC32	111.5822488410	1300000
telecom_gsm	33.7567232250	1300000
automotive_bitcount	30.3824245660	1200000
automotive_qsort1	42.1148133000	1200000
automotive_susan_c	58.9584378680	1200000
automotive_susan_e	44.8786946960	1200000
automotive_susan_s	38.7481292490	1200000
bzip2d	53.8783058800	1200000
bzip2e	53.6120607010	1200000
consumer_jpeg_c	44.5249685100	1200000
consumer_jpeg_d	118.3245795900	1200000
consumer_tiff2bw	65.6035735900	1200000
consumer_tiff2rgba	123.0372250470	1200000
consumer_tiffdither	49.3291827140	1200000
consumer_tiffmedian	53.0396339330	1200000
network_dijkstra	11.3583262610	1200000
network_patricia	31.3214623650	1200000
office_ghostscript	57.6207473180	1200000
office_ispell	74.1228047960	1200000
office_rsynth	21.4123067300	1200000
office_stringsearch1	17.6589279010	1200000
security_blowfish_d	31.3285329740	1200000
security_blowfish_e	31.8201727190	1200000
security_pgp_d	270.3416250520	1200000
security_pgp_e	50.7434601710	1200000
security_rijndael_d	296.3203643680	1200000
security_rijndael_e	304.5521881500	1200000
security_sha	60.8686877260	1200000
telecom_adpcm_c	22.2647811040	1200000
telecom_adpcm_d	33.5558963950	1200000
telecom_CRC32	117.5044493930	1200000
telecom_gsm	36.8309251150	1200000
automotive_bitcount	30.0878836600	1200000
automotive_qsort1	42.3546400830	1200000
automotive_susan_c	59.0587051370	1200000
automotive_susan_e	44.6020789990	1200000
automotive_susan_s	38.7069418850	1200000
bzip2d	54.3413153580	1200000
bzip2e	53.4496338250	1200000
consumer_jpeg_c	43.0100380760	1200000
consumer_jpeg_d	115.5772888640	1200000
consumer_tiff2bw	63.4103465080	1200000
consumer_tiff2rgba	121.4228123010	1200000
consumer_tiffdither	51.8420772290	1200000
consumer_tiffmedian	53.8275704980	1200000
network_dijkstra	11.3987692520	1200000
network_patricia	31.8528657690	1200000
office_ghostscript	62.0291567240	1200000
office_ispell	73.8739292020	1200000
office_rsynth	21.1307665030	1200000
office_stringsearch1	17.6494705480	1200000
security_blowfish_d	31.5776921930	1200000
security_blowfish_e	31.5906823300	1200000
security_pgp_d	272.3930575450	1200000
security_pgp_e	50.3339099050	1200000
security_rijndael_d	297.2891793070	1200000
security_rijndael_e	306.4837274600	1200000
security_sha	61.2058987420	1200000
telecom_adpcm_c	22.0901941300	1200000
telecom_adpcm_d	33.8193639140	1200000
telecom_CRC32	117.5123617490	1200000
telecom_gsm	36.6281303740	1200000
automotive_bitcount	30.3975287810	1200000
automotive_qsort1	42.0995207950	1200000
automotive_susan_c	58.9686812610	1200000
automotive_susan_e	44.8220756590	1200000
automotive_susan_s	38.6157751780	1200000
bzip2d	54.0442102910	1200000
bzip2e	53.4954858440	1200000
consumer_jpeg_c	43.0543914330	1200000
consumer_jpeg_d	115.9166824590	1200000
consumer_tiff2bw	63.7728066750	1200000
consumer_tiff2rgba	121.3400545320	1200000
consumer_tiffdither	50.8194281220	1200000
consumer_tiffmedian	52.8359630690	1200000
network_dijkstra	11.5979395440	1200000
network_patricia	31.1548083320	1200000
office_ghostscript	58.1942189580	1200000
office_ispell	74.9880470150	1200000
office_rsynth	21.4366837150	1200000
office_stringsearch1	17.6439117690	1200000
security_blowfish_d	31.3184209560	1200000
security_blowfish_e	31.8060757510	1200000
security_pgp_d	268.7091016390	1200000
security_pgp_e	50.4490404310	1200000
security_rijndael_d	293.0358680850	1200000
security_rijndael_e	302.4149512720	1200000
security_sha	60.9978693870	1200000
telecom_adpcm_c	22.4166622550	1200000
telecom_adpcm_d	33.5474354560	1200000
telecom_CRC32	117.4536898010	1200000
telecom_gsm	36.8739883080	1200000
automotive_bitcount	33.0199328770	1100000
automotive_qsort1	45.7505580250	1100000
automotive_susan_c	62.7143707740	1100000
automotive_susan_e	48.1869623400	1100000
automotive_susan_s	42.4649737450	1100000
bzip2d	56.2809587320	1100000
bzip2e	55.6777524520	1100000
consumer_jpeg_c	46.6523032860	1100000
consumer_jpeg_d	121.2664297850	1100000
consumer_tiff2bw	68.3282072430	1100000
consumer_tiff2rgba	127.5539045800	1100000
consumer_tiffdither	52.7514700960	1100000
consumer_tiffmedian	56.8273238090	1100000
network_dijkstra	12.1208101330	1100000
network_patricia	33.5848105780	1100000
office_ghostscript	62.6076324360	1100000
office_ispell	78.9457654580	1100000
office_rsynth	23.2037814440	1100000
office_stringsearch1	19.4584129730	1100000
security_blowfish_d	34.3877179410	1100000
security_blowfish_e	34.9025078820	1100000
security_pgp_d	284.4111037480	1100000
