Start:	1419894909995571752
Event1 Name:	r011
Event2 Name:	r004
Event3 Name:	r014
Event4 Name:	r008
Event5 Name:	r013
     0.500352642	300396686	r011
     0.500352642	54860147	r004
     0.500352642	104695047	r014
     0.500352642	363889030	r008
     0.500352642	54842590	r013
     1.001545739	300719619	r011
     1.001545739	25215425	r004
     1.001545739	91070322	r014
     1.001545739	331778069	r008
     1.001545739	25219646	r013
     1.502666337	300675543	r011
     1.502666337	55114409	r004
     1.502666337	102230712	r014
     1.502666337	388823707	r008
     1.502666337	55117926	r013
     2.003661644	300597645	r011
     2.003661644	43782437	r004
     2.003661644	103517233	r014
     2.003661644	394643518	r008
     2.003661644	43785674	r013
     2.504656159	300594957	r011
     2.504656159	35945307	r004
     2.504656159	89827129	r014
     2.504656159	334040608	r008
     2.504656159	35949172	r013
     3.005652173	300601269	r011
     3.005652173	43625658	r004
     3.005652173	110253353	r014
     3.005652173	435921283	r008
     3.005652173	43628547	r013
     3.506621980	300580058	r011
     3.506621980	33819658	r004
     3.506621980	85351035	r014
     3.506621980	302359682	r008
     3.506621980	33823870	r013
     4.007746370	300678540	r011
     4.007746370	43242512	r004
     4.007746370	110065220	r014
     4.007746370	437068856	r008
     4.007746370	43245383	r013
     4.508718676	300580418	r011
     4.508718676	32498582	r004
     4.508718676	95617049	r014
     4.508718676	305882380	r008
     4.508718676	32502654	r013
     5.009702316	300591119	r011
     5.009702316	48652843	r004
     5.009702316	97384325	r014
     5.009702316	414695746	r008
     5.009702316	48656165	r013
     5.510687373	300593973	r011
     5.510687373	52828691	r004
     5.510687373	105588824	r014
     5.510687373	377567896	r008
     5.510687373	52832117	r013
     6.011672012	300590256	r011
     6.011672012	28193569	r004
     6.011672012	87698637	r014
     6.011672012	340513387	r008
     6.011672012	28197437	r013
     6.512736110	300641604	r011
     6.512736110	43570829	r004
     6.512736110	109727595	r014
     6.512736110	439113529	r008
     6.512736110	43573928	r013
     7.013703042	300578814	r011
     7.013703042	34029015	r004
     7.013703042	91102750	r014
     7.013703042	274935465	r008
     7.013703042	34033161	r013
     7.514666224	300582474	r011
     7.514666224	42219097	r004
     7.514666224	106424720	r014
     7.514666224	475655870	r008
     7.514666224	42221829	r013
     8.015637572	300577794	r011
     8.015637572	62325776	r004
     8.015637572	101110675	r014
     8.015637572	313462764	r008
     8.015637572	62329770	r013
     8.516617503	300591984	r011
     8.516617503	18491310	r004
     8.516617503	93352673	r014
     8.516617503	398673004	r008
     8.516617503	18494817	r013
     9.017715685	300658346	r011
     9.017715685	52778056	r004
     9.017715685	105015278	r014
     9.017715685	390964563	r008
     9.017715685	52781491	r013
     9.518686700	300583333	r011
     9.518686700	28325894	r004
     9.518686700	92742443	r014
     9.518686700	308065245	r008
     9.518686700	28329795	r013
    10.019673548	300594932	r011
    10.019673548	43057934	r004
    10.019673548	103970354	r014
    10.019673548	475105388	r008
    10.019673548	43060766	r013
    10.520905687	300622192	r011
    10.520905687	56798881	r004
    10.520905687	97965600	r014
    10.520905687	279644472	r008
    10.520905687	56803121	r013
    11.021884744	300593290	r011
    11.021884744	21517040	r004
    11.021884744	99051104	r014
    11.021884744	442537327	r008
    11.021884744	21519937	r013
    11.523413007	300913155	r011
    11.523413007	61572237	r004
    11.523413007	100613643	r014
    11.523413007	341200546	r008
    11.523413007	61576073	r013
    12.024395356	300592529	r011
    12.024395356	19358098	r004
    12.024395356	95902876	r014
    12.024395356	359225547	r008
    12.024395356	19361602	r013
    12.525346162	300569877	r011
    12.525346162	50070747	r004
    12.525346162	101261373	r014
    12.525346162	432204644	r008
    12.525346162	50074010	r013
    13.026329385	300588843	r011
    13.026329385	51994183	r004
    13.026329385	99285581	r014
    13.026329385	307752924	r008
    13.026329385	51998215	r013
    13.527538566	300729554	r011
    13.527538566	19130772	r004
    13.527538566	102540046	r014
    13.527538566	453236905	r008
    13.527538566	19133754	r013
    14.028761706	300731725	r011
    14.028761706	68123718	r004
    14.028761706	97589780	r014
    14.028761706	308822851	r008
    14.028761706	68127872	r013
    14.529941845	300711846	r011
    14.529941845	17820924	r004
    14.529941845	101591345	r014
    14.529941845	412712529	r008
    14.529941845	17824004	r013
    15.031110693	300699343	r011
    15.031110693	54668084	r004
    15.031110693	95828993	r014
    15.031110693	363746697	r008
    15.031110693	54671806	r013
    15.533028331	301040147	r011
    15.533028331	48629072	r004
    15.533028331	102189215	r014
    15.533028331	361528152	r008
    15.533028331	48632637	r013
    16.034192053	300697431	r011
    16.034192053	23861355	r004
    16.034192053	96261965	r014
    16.034192053	410233292	r008
    16.034192053	23864530	r013
    16.535374276	300707073	r011
    16.535374276	65271822	r004
    16.535374276	101889907	r014
    16.535374276	307562020	r008
    16.535374276	65275963	r013
    17.036540332	300704442	r011
    17.036540332	13553556	r004
    17.036540332	103926462	r014
    17.036540332	447618750	r008
    17.036540332	13556319	r013
    17.539018760	301484057	r011
    17.539018760	61436127	r004
    17.539018760	92911586	r014
    17.539018760	314527368	r008
    17.539018760	61440325	r013
    18.040184692	300704680	r011
    18.040184692	42206539	r004
    18.040184692	101279968	r014
    18.040184692	416351328	r008
    18.040184692	42209282	r013
    18.541372456	300707710	r011
    18.541372456	27352007	r004
    18.541372456	91250557	r014
    18.541372456	363875946	r008
    18.541372456	27355886	r013
    19.042715678	300808492	r011
    19.042715678	57315322	r004
    19.042715678	105630104	r014
    19.042715678	353460222	r008
    19.042715678	57319175	r013
    19.543903026	300714071	r011
