#Timestamp	CORE_ID	user%	nice%	sys%	idle%	iowait%	irq%	softiq%	steal%	guest%	guest_nice%
1357013060576971598	CORE_0	5.17	0	3.44	89.65	0	0	1.72	0	0	0
1357013061412084458	CORE_0	1.23	0	1.23	95.06	1.23	1.23	0	0	0	0
1357013062251930457	CORE_0	0	0	1.21	97.56	0	1.21	0	0	0	0
1357013063077987786	CORE_0	0	0	2.43	95.12	0	1.21	1.21	0	0	0
1357013063916928707	CORE_0	0	0	3.61	95.18	0	1.20	0	0	0	0
1357013064751893109	CORE_0	0	0	1.23	97.53	0	1.23	0	0	0	0
1357013065576947027	CORE_0	1.20	0	2.40	93.97	0	1.20	1.20	0	0	0
1357013066421884621	CORE_0	0	0	2.50	96.25	0	1.25	0	0	0	0
1357013067261947952	CORE_0	0	0	3.61	95.18	0	1.20	0	0	0	0
1357013068093850289	CORE_0	0	0	0	97.53	0	1.23	1.23	0	0	0
1357013068928860733	CORE_0	1.17	0	0	92.94	0	2.35	3.52	0	0	0
1357013069772098295	CORE_0	0	0	2.38	94.04	0	3.57	0	0	0	0
1357013070603828133	CORE_0	0	0	1.25	98.75	0	0	0	0	0	0
1357013071417958531	CORE_0	0	0	2.56	97.43	0	0	0	0	0	0
1357013072269360838	CORE_0	0	0	1.20	97.59	0	1.20	0	0	0	0
1357013073124458998	CORE_0	0	0	1.20	97.59	0	1.20	0	0	0	0
1357013073987290364	CORE_0	0	0	1.17	97.64	0	1.17	0	0	0	0
1357013074837151513	CORE_0	0	0	1.21	98.78	0	0	0	0	0	0
1357013075687163328	CORE_0	0	0	1.16	95.34	0	3.48	0	0	0	0
1357013076542263780	CORE_0	3.61	0	2.40	92.77	1.20	0	0	0	0	0
1357013077387325707	CORE_0	1.19	0	1.19	97.61	0	0	0	0	0	0
1357013078234369706	CORE_0	0	0	0	100.00	0	0	0	0	0	0
1357013079083582525	CORE_0	0	0	1.17	97.64	0	1.17	0	0	0	0
1357013079942076666	CORE_0	0	0	2.38	96.42	0	1.19	0	0	0	0
1357013080797348867	CORE_0	1.16	0	2.32	94.18	0	1.16	1.16	0	0	0
1357013081657253583	CORE_0	0	0	2.35	96.47	0	0	1.17	0	0	0
1357013082512253035	CORE_0	0	0	0	97.61	0	2.38	0	0	0	0
1357013083362257725	CORE_0	1.17	0	2.35	96.47	0	0	0	0	0	0
1357013084212195332	CORE_0	0	0	0	98.78	0	1.21	0	0	0	0
1357013085071039054	CORE_0	0	0	1.19	96.42	0	1.19	1.19	0	0	0
1357013085932346179	CORE_0	0	0	1.20	97.59	0	1.20	0	0	0	0
1357013086787248757	CORE_0	0	0	1.17	95.29	0	3.52	0	0	0	0
1357013087606856457	CORE_0	0	0	9.87	90.12	0	0	0	0	0	0
1357013088226484609	CORE_0	0	0	3.33	90.00	0	5.00	1.66	0	0	0
1357013088926980959	CORE_0	1.75	0	12.28	66.66	0	17.54	1.75	0	0	0
1357013089788680997	CORE_0	0	0	11.25	75.00	0	11.25	2.50	0	0	0
1357013090653411310	CORE_0	0	0	12.82	75.64	0	10.25	1.28	0	0	0
1357013091489088958	CORE_0	0	0	13.92	72.15	1.26	10.12	2.53	0	0	0
1357013092339262772	CORE_0	0	0	10.38	76.62	0	10.38	2.59	0	0	0
1357013093205097329	CORE_0	0	0	11.39	74.68	0	11.39	2.53	0	0	0
1357013094054547772	CORE_0	0	0	13.92	74.68	0	10.12	1.26	0	0	0
1357013094913374952	CORE_0	0	0	10.38	76.62	0	10.38	2.59	0	0	0
1357013095736489507	CORE_0	0	0	12.32	68.49	0	16.43	2.73	0	0	0
1357013096571884240	CORE_0	0	0	12.00	76.00	0	10.66	1.33	0	0	0
1357013097419289903	CORE_0	1.33	0	6.66	78.66	0	10.66	2.66	0	0	0
1357013098276981632	CORE_0	0	0	8.10	78.37	0	10.81	2.70	0	0	0
1357013099136963389	CORE_0	0	0	12.65	74.68	0	11.39	1.26	0	0	0
1357013099991331303	CORE_0	0	0	6.75	79.72	0	10.81	2.70	0	0	0
1357013100849357613	CORE_0	0	0	12.65	74.68	0	10.12	2.53	0	0	0
1357013101677429306	CORE_0	1.33	0	10.66	74.66	0	10.66	2.66	0	0	0
1357013102381559926	CORE_0	0	0	8.62	72.41	0	17.24	1.72	0	0	0
1357013103246169239	CORE_0	0	0	11.25	75.00	0	11.25	2.50	0	0	0
1357013104103294180	CORE_0	0	0	10.52	77.63	0	10.52	1.31	0	0	0
1357013104950405470	CORE_0	0	0	12.50	73.75	0	10.00	3.75	0	0	0
1357013105805621504	CORE_0	0	0	11.68	76.62	0	10.38	1.29	0	0	0
1357013106644010803	CORE_0	0	0	5.63	80.28	0	11.26	2.81	0	0	0
1357013107499206213	CORE_0	1.31	0	7.89	77.63	0	10.52	2.63	0	0	0
1357013108338217092	CORE_0	0	0	10.52	77.63	0	10.52	1.31	0	0	0
1357013109026931885	CORE_0	0	0	6.25	82.81	0	10.93	0	0	0	0
1357013109866892383	CORE_0	0	0	0	97.59	0	1.20	1.20	0	0	0
1357013110706910256	CORE_0	0	0	2.43	97.56	0	0	0	0	0	0
1357013111546933838	CORE_0	0	0	1.20	96.38	1.20	1.20	0	0	0	0
1357013112386909752	CORE_0	0	0	0	98.78	0	1.21	0	0	0	0
1357013113226877459	CORE_0	1.20	0	2.40	95.18	0	0	1.20	0	0	0
1357013114048086399	CORE_0	0	0	1.20	97.59	0	1.20	0	0	0	0
1357013114896890971	CORE_0	0	0	1.20	96.38	0	1.20	1.20	0	0	0
1357013115736909011	CORE_0	0	0	1.20	97.59	0	1.20	0	0	0	0
1357013116571926455	CORE_0	1.25	0	0	98.75	0	0	0	0	0	0
1357013117407044731	CORE_0	0	0	1.21	97.56	0	1.21	0	0	0	0
1357013118241933342	CORE_0	0	0	2.35	94.11	0	3.52	0	0	0	0
1357013119076948202	CORE_0	0	0	2.43	97.56	0	0	0	0	0	0
1357013119921924921	CORE_0	0	0	0	98.76	0	0	1.23	0	0	0
1357013120751921769	CORE_0	0	0	1.19	96.42	0	2.38	0	0	0	0
1357013121601945542	CORE_0	1.20	0	1.20	96.38	0	0	1.20	0	0	0
1357013122441920041	CORE_0	0	0	0	100.00	0	0	0	0	0	0
1357013123281929247	CORE_0	0	0	2.40	96.38	0	1.20	0	0	0	0
1357013124119344468	CORE_0	0	0	0	100.00	0	0	0	0	0	0
1357013124956954397	CORE_0	0	0	2.40	96.38	0	1.20	0	0	0	0
1357013125796940437	CORE_0	0	0	1.20	97.59	0	1.20	0	0	0	0
1357013126624175592	CORE_0	1.25	0	5.00	87.50	0	5.00	1.25	0	0	0
1357013127458973370	CORE_0	11.39	0	1.26	83.54	0	2.53	1.26	0	0	0
1357013128296023969	CORE_0	0	0	0	93.02	0	6.97	0	0	0	0
1357013129141966599	CORE_0	0	0	2.43	97.56	0	0	0	0	0	0
1357013129981913847	CORE_0	0	0	0	100.00	0	0	0	0	0	0
1357013130822093053	CORE_0	1.23	0	0	98.76	0	0	0	0	0	0
1357013131661944385	CORE_0	0	0	1.25	97.50	0	0	1.25	0	0	0
1357013132501937633	CORE_0	7.31	0	1.21	91.46	0	0	0	0	0	0
1357013133341916756	CORE_0	0	0	0	98.76	0	1.23	0	0	0	0
1357013134181956754	CORE_0	0	0	1.19	96.42	0	1.19	1.19	0	0	0
1357013135021940877	CORE_0	0	0	1.14	93.10	0	5.74	0	0	0	0
1357013135866912513	CORE_0	0	0	0	100.00	0	0	0	0	0	0
1357013136698842099	CORE_0	1.21	0	12.19	84.14	0	2.43	0	0	0	0
1357013137546918092	CORE_0	0	0	1.20	96.38	0	1.20	1.20	0	0	0
1357013138383837233	CORE_0	0	0	3.52	95.29	0	1.17	0	0	0	0
1357013139226926547	CORE_0	1.20	0	1.20	97.59	0	0	0	0	0	0
1357013140071950724	CORE_0	0	0	0	98.78	0	1.21	0	0	0	0
1357013140911948555	CORE_0	0	0	2.38	95.23	0	1.19	1.19	0	0	0
1357013141751956178	CORE_0	0	0	0	93.02	1.16	3.48	2.32	0	0	0
1357013142583921139	CORE_0	0	0	0	100.00	0	0	0	0	0	0
1357013143431965341	CORE_0	0	0	1.23	98.76	0	0	0	0	0	0
1357013144263160390	CORE_0	0	0	0	100.00	0	0	0	0	0	0
1357013145111983253	CORE_0	1.20	0	1.20	96.38	0	1.20	0	0	0	0
1357013145956947431	CORE_0	0	0	1.20	97.59	0	1.20	0	0	0	0
1357013146797968173	CORE_0	0	0	3.65	95.12	0	1.21	0	0	0	0
1357013147641928940	CORE_0	1.20	0	0	97.59	0	1.20	0	0	0	0
1357013148486937117	CORE_0	0	0	1.16	95.34	0	2.32	1.16	0	0	0
1357013149313964899	CORE_0	0	0	1.25	98.75	0	0	0	0	0	0
1357013150153861231	CORE_0	0	0	1.23	98.76	0	0	0	0	0	0
1357013150991951531	CORE_0	1.20	0	0	96.38	0	2.40	0	0	0	0
1357013151836914667	CORE_0	0	0	0	98.78	1.21	0	0	0	0	0
1357013152681944095	CORE_0	0	0	2.40	97.59	0	0	0	0	0	0
1357013153456881887	CORE_0	0	0	1.21	90.24	0	1.21	7.31	0	0	0
