Start:	1419930652532680458
Event1 Name:	r011
Event2 Name:	r004
Event3 Name:	r014
Event4 Name:	r008
Event5 Name:	r013
     0.500331975	55450067	r011
     0.500331975	55393920	r004
     0.500331975	240064174	r014
     0.500331975	554572751	r008
     0.500331975	55449854	r013
     1.001445323	43033967	r011
     1.001445323	43011023	r004
     1.001445323	293722188	r014
     1.001445323	710732456	r008
     1.001445323	43033835	r013
     1.502415463	60957735	r011
     1.502415463	60932314	r004
     1.502415463	290948794	r014
     1.502415463	674984689	r008
     1.502415463	60957735	r013
     2.003267394	59231601	r011
     2.003267394	59210445	r004
     2.003267394	299660550	r014
     2.003267394	720028690	r008
     2.003267394	59231601	r013
     2.504376867	44166019	r011
     2.504376867	44141425	r004
     2.504376867	283472319	r014
     2.504376867	718509894	r008
     2.504376867	44166019	r013
     3.005274549	43590108	r011
     3.005274549	43564447	r004
     3.005274549	281893393	r014
     3.005274549	713986650	r008
     3.005274549	43590108	r013
     3.506111106	48376816	r011
     3.506111106	48356229	r004
     3.506111106	308797304	r014
     3.506111106	714534263	r008
     3.506111106	48376816	r013
     4.006917580	68883702	r011
     4.006917580	68858923	r004
     4.006917580	287936933	r014
     4.006917580	670718463	r008
     4.006917580	68883702	r013
     4.507766261	46573173	r011
     4.507766261	46547583	r004
     4.507766261	281448562	r014
     4.507766261	708507201	r008
     4.507766261	46573173	r013
     5.008640360	43171901	r011
     5.008640360	43142800	r004
     5.008640360	294463601	r014
     5.008640360	743400732	r008
     5.008640360	43171901	r013
     5.509715541	43819856	r011
     5.509715541	43795055	r004
     5.509715541	283300373	r014
     5.509715541	701389676	r008
     5.509715541	43819856	r013
     6.010609806	53909903	r011
     6.010609806	53885143	r004
     6.010609806	295112087	r014
     6.010609806	682741093	r008
     6.010609806	53909903	r013
     6.511461530	66794562	r011
     6.511461530	66773067	r004
     6.511461530	297715490	r014
     6.511461530	707255024	r008
     6.511461530	66794562	r013
     7.013974125	43436895	r011
     7.013974125	43411547	r004
     7.013974125	282247349	r014
     7.013974125	716874536	r008
     7.013974125	43436895	r013
     7.514976431	42986839	r011
     7.514976431	42962882	r004
     7.514976431	286576528	r014
     7.514976431	731756245	r008
     7.514976431	42986839	r013
     8.015803405	44658077	r011
     8.015803405	44635515	r004
     8.015803405	299293539	r014
     8.015803405	704707729	r008
     8.015803405	44658077	r013
     8.516680170	66256078	r011
     8.516680170	66230466	r004
     8.516680170	285083328	r014
     8.516680170	669220008	r008
     8.516680170	66256078	r013
     9.017522685	52970306	r011
     9.017522685	52946872	r004
     9.017522685	293885936	r014
     9.017522685	715551639	r008
     9.017522685	52970306	r013
     9.518389867	43675077	r011
     9.518389867	43651669	r004
     9.518389867	287880944	r014
     9.518389867	728814891	r008
     9.518389867	43675077	r013
    10.019435215	43240573	r011
    10.019435215	43215297	r004
    10.019435215	282367679	r014
    10.019435215	710973493	r008
    10.019435215	43240573	r013
    10.520358105	51680931	r011
    10.520358105	51653857	r004
    10.520358105	303291227	r014
    10.520358105	700699135	r008
    10.520358105	51680931	r013
    11.021203537	69453860	r011
    11.021203537	69429766	r004
    11.021203537	290888423	r014
    11.021203537	681179614	r008
    11.021203537	69453860	r013
    11.522114343	43532237	r011
    11.522114343	43506574	r004
    11.522114343	280907290	r014
    11.522114343	713882226	r008
    11.522114343	43532237	r013
    12.022910484	42219025	r011
    12.022910484	42197862	r004
    12.022910484	292830514	r014
    12.022910484	749924352	r008
    12.022910484	42219025	r013
    12.523708416	43564302	r011
    12.523708416	43539175	r004
    12.523708416	287544939	r014
    12.523708416	696954638	r008
    12.523708416	43564302	r013
    13.024658097	61520472	r011
    13.024658097	61494644	r004
    13.024658097	290776661	r014
    13.024658097	673585742	r008
    13.024658097	61520472	r013
    13.525608529	58620958	r011
    13.525608529	58600311	r004
    13.525608529	300945984	r014
    13.525608529	730520582	r008
    13.525608529	58620958	r013
    14.026419461	44319439	r011
    14.026419461	44294184	r004
    14.026419461	281022032	r014
    14.026419461	711170492	r008
    14.026419461	44319439	r013
    14.527269309	43359388	r011
    14.527269309	43334348	r004
    14.527269309	283540106	r014
    14.527269309	718861173	r008
    14.527269309	43359388	r013
    15.028094575	49545890	r011
    15.028094575	49525001	r004
    15.028094575	307615882	r014
    15.028094575	708285529	r008
    15.028094575	49545890	r013
    15.529211548	66514723	r011
    15.529211548	66488585	r004
    15.529211548	279612930	r014
    15.529211548	657576615	r008
    15.529211548	66527626	r013
    16.030113729	49688122	r011
    16.030113729	49650987	r004
    16.030113729	289047055	r014
    16.030113729	713813083	r008
    16.030113729	49675219	r013
    16.530947078	48174375	r011
    16.530947078	48119893	r004
    16.530947078	282290143	r014
    16.530947078	695855195	r008
    16.530947078	48174375	r013
    17.031828176	43411415	r011
    17.031828176	43386438	r004
    17.031828176	281025522	r014
    17.031828176	714051488	r008
    17.031828176	43411415	r013
    17.532716775	45352688	r011
    17.532716775	45328759	r004
    17.532716775	297605753	r014
    17.532716775	697748009	r008
    17.532716775	45352688	r013
    18.033517790	71427949	r011
    18.033517790	71405515	r004
    18.033517790	297510535	r014
    18.033517790	688101030	r008
    18.033517790	71427949	r013
    18.534537638	47190121	r011
    18.534537638	47164567	r004
    18.534537638	282949293	r014
    18.534537638	708588542	r008
    18.534537638	47190121	r013
    19.035383653	42458934	r011
    19.035383653	42436735	r004
    19.035383653	289569556	r014
    19.035383653	740540288	r008
    19.035383653	42458934	r013
    19.536215127	43293149	r011
    19.536215127	43269887	r004
    19.536215127	289398635	r014
    19.536215127	713036470	r008
    19.536215127	43293149	r013
    20.037133767	55904488	r011
    20.037133767	55880090	r004
    20.037133767	293223328	r014
    20.037133767	679771455	r008
    20.037133767	55904488	r013
    20.538064282	64544755	r011
    20.538064282	64520087	r004
    20.538064282	294296884	r014
    20.538064282	702887779	r008
    20.538064282	64544755	r013
    21.038911130	43928227	r011
    21.038911130	43904083	r004
    21.038911130	285529690	r014
    21.038911130	723787450	r008
    21.038911130	43928227	r013
    21.539902145	43532327	r011
    21.539902145	43506064	r004
    21.539902145	280629742	r014
    21.539902145	712453582	r008
    21.539902145	43532327	r013
    22.040677369	44464028	r011
    22.040677369	44442851	r004
    22.040677369	303269659	r014
    22.040677369	719778069	r008
    22.040677369	44464028	r013
    22.541469801	67993270	r011
    22.541469801	67968248	r004
    22.541469801	289689137	r014
    22.541469801	673458710	r008
    22.541469801	67993270	r013
    23.042351149	51544700	r011
    23.042351149	51518751	r004
    23.042351149	284299371	r014
    23.042351149	700975281	r008
    23.042351149	51544700	r013
    23.543188790	41688801	r011
    23.543188790	41668804	r004
    23.543188790	298211385	r014
    23.543188790	759988718	r008
    23.543188790	41688801	r013
    24.043960347	44118918	r011
    24.043960347	44092965	r004
    24.043960347	282157237	r014
    24.043960347	702646978	r008
    24.043960347	44118918	r013
    24.544864153	51280255	r011
    24.544864153	51254438	r004
    24.544864153	292525958	r014
    24.544864153	681051309	r008
    24.544864153	51280255	r013
    25.045693585	69032231	r011
    25.045693585	69013042	r004
    25.045693585	303016985	r014
    25.045693585	711957400	r008
    25.045693585	69032231	r013
    25.546503684	43613979	r011
    25.546503684	43588132	r004
    25.546503684	279815889	r014
    25.546503684	710580634	r008
    25.546503684	43613979	r013
    26.047434907	43730553	r011
    26.047434907	43702950	r004
    26.047434907	281781182	r014
    26.047434907	715229126	r008
    26.047434907	43730553	r013
    26.548389797	42511867	r011
    26.548389797	42490123	r004
    26.548389797	300635944	r014
    26.548389797	717827425	r008
    26.548389797	42511867	r013
    27.049435062	66144500	r011
    27.049435062	66119403	r004
    27.049435062	289728485	r014
    27.049435062	676382223	r008
    27.049435062	66144500	r013
    27.550409618	54824982	r011
    27.550409618	54801202	r004
    27.550409618	293348450	r014
    27.550409618	707686609	r008
    27.550409618	54824982	r013
    28.051264259	43466296	r011
    28.051264259	43443588	r004
    28.051264259	289527985	r014
    28.051264259	732996422	r008
