Start:	1428529629121655260
Event1 Name:	r0FF
Event2 Name:	r01B
Event3 Name:	r073
Event4 Name:	r075
Event5 Name:	r004
Event6 Name:	r016
Event7 Name:	r017
     0.500303010	489883913	r0FF
     0.500303010	163316741	r01B
     0.500303010	74515038	r073
     0.500303010	3560055	r075
     0.500303010	55466983	r004
     0.500303010	1047609	r016
     0.500303010	164033	r017
     1.001221395	500920180	r0FF
     1.001221395	149546490	r01B
     1.001221395	66313942	r073
     1.001221395	3872432	r075
     1.001221395	51956200	r004
     1.001221395	232730	r016
     1.001221395	7318	r017
     1.502063363	500841962	r0FF
     1.502063363	149516429	r01B
     1.502063363	66295475	r073
     1.502063363	3873355	r075
     1.502063363	51951527	r004
     1.502063363	227731	r016
     1.502063363	5860	r017
     2.002856331	500793520	r0FF
     2.002856331	149699077	r01B
     2.002856331	66358157	r073
     2.002856331	3882468	r075
     2.002856331	52019574	r004
     2.002856331	171867	r016
     2.002856331	3464	r017
     2.503657840	500804353	r0FF
     2.503657840	149616721	r01B
     2.503657840	66320601	r073
     2.503657840	3880658	r075
     2.503657840	51993542	r004
     2.503657840	182481	r016
     2.503657840	4911	r017
     3.004435058	500777545	r0FF
     3.004435058	149509770	r01B
     3.004435058	66292668	r073
     3.004435058	3872662	r075
     3.004435058	51947425	r004
     3.004435058	229394	r016
     3.004435058	5979	r017
     3.505211192	500777691	r0FF
     3.505211192	149480533	r01B
     3.505211192	66268131	r073
     3.505211192	3875192	r075
     3.505211192	51941906	r004
     3.505211192	223665	r016
     3.505211192	5159	r017
     4.006039118	500829757	r0FF
     4.006039118	149810039	r01B
     4.006039118	66390983	r073
     4.006039118	3889326	r075
     4.006039118	52068102	r004
     4.006039118	129338	r016
     4.006039118	2193	r017
     4.506966711	500925682	r0FF
     4.506966711	149552655	r01B
     4.506966711	66309420	r073
     4.506966711	3875056	r075
     4.506966711	51966901	r004
     4.506966711	226330	r016
     4.506966711	5744	r017
     5.007723179	500757792	r0FF
     5.007723179	149499436	r01B
     5.007723179	66286425	r073
     5.007723179	3873116	r075
     5.007723179	51944353	r004
     5.007723179	228984	r016
     5.007723179	5987	r017
     5.508614396	500891411	r0FF
     5.508614396	149649234	r01B
     5.508614396	66331500	r073
     5.508614396	3882226	r075
     5.508614396	52004545	r004
     5.508614396	180939	r016
     5.508614396	3988	r017
     6.009417530	500804529	r0FF
     6.009417530	149701669	r01B
     6.009417530	66360108	r073
     6.009417530	3882055	r075
     6.009417530	52021830	r004
     6.009417530	171732	r016
     6.009417530	3741	r017
     6.510218456	500800593	r0FF
     6.510218456	149611386	r01B
     6.510218456	66345749	r073
     6.510218456	3872486	r075
     6.510218456	51991835	r004
     6.510218456	228419	r016
     6.510218456	5925	r017
     7.011060840	500843471	r0FF
     7.011060840	149510679	r01B
     7.011060840	66290512	r073
     7.011060840	3873504	r075
     7.011060840	51950548	r004
     7.011060840	228220	r016
     7.011060840	5827	r017
     7.511943099	500883074	r0FF
     7.511943099	149773769	r01B
     7.511943099	66379343	r073
     7.511943099	3887283	r075
     7.511943099	52054930	r004
     7.511943099	140245	r016
     7.511943099	3173	r017
     8.012743775	500801205	r0FF
     8.012743775	149542902	r01B
     8.012743775	66300620	r073
     8.012743775	3875641	r075
     8.012743775	51966919	r004
     8.012743775	218491	r016
     8.012743775	5156	r017
     8.513548492	500805384	r0FF
     8.513548492	149454096	r01B
     8.513548492	66259728	r073
     8.513548492	3874120	r075
     8.513548492	51939879	r004
     8.513548492	227802	r016
     8.513548492	5787	r017
     9.014371709	500821733	r0FF
     9.014371709	149569307	r01B
     9.014371709	66303296	r073
     9.014371709	3878848	r075
     9.014371709	51980087	r004
     9.014371709	195776	r016
     9.014371709	4616	r017
     9.515180510	500813266	r0FF
     9.515180510	149689064	r01B
     9.515180510	66346946	r073
     9.515180510	3884000	r075
     9.515180510	52024617	r004
     9.515180510	160606	r016
     9.515180510	3489	r017
    10.016043310	500864898	r0FF
    10.016043310	149523640	r01B
    10.016043310	66298090	r073
    10.016043310	3873668	r075
    10.016043310	51958222	r004
    10.016043310	229268	r016
    10.016043310	5689	r017
    10.516943902	500901913	r0FF
    10.516943902	149509326	r01B
    10.516943902	66288677	r073
    10.516943902	3874320	r075
    10.516943902	51957052	r004
    10.516943902	227713	r016
    10.516943902	5953	r017
    11.017779078	500835262	r0FF
    11.017779078	149727505	r01B
    11.017779078	66357796	r073
    11.017779078	3886680	r075
    11.017779078	52040673	r004
    11.017779078	146486	r016
    11.017779078	2940	r017
    11.518614253	500834333	r0FF
    11.518614253	149556135	r01B
    11.518614253	66302460	r073
    11.518614253	3877306	r075
    11.518614253	51972050	r004
    11.518614253	208420	r016
    11.518614253	4835	r017
    12.019443637	500831500	r0FF
    12.019443637	149499879	r01B
    12.019443637	66283221	r073
    12.019443637	3874412	r075
    12.019443637	51950690	r004
    12.019443637	225869	r016
    12.019443637	5259	r017
    12.520296687	500852281	r0FF
    12.520296687	149576980	r01B
    12.520296687	66301759	r073
    12.520296687	3879928	r075
    12.520296687	51979096	r004
    12.520296687	195010	r016
    12.520296687	4577	r017
    13.021126529	500831997	r0FF
    13.021126529	149731746	r01B
    13.021126529	66369182	r073
    13.021126529	3884400	r075
    13.021126529	52038942	r004
    13.021126529	158098	r016
    13.021126529	3288	r017
    13.521996788	500871206	r0FF
    13.521996788	149513768	r01B
    13.521996788	66292953	r073
    13.521996788	3873804	r075
    13.521996788	51955172	r004
    13.521996788	228398	r016
    13.521996788	5749	r017
    14.022830838	500836039	r0FF
    14.022830838	149513758	r01B
    14.022830838	66295709	r073
    14.022830838	3873174	r075
    14.022830838	51952330	r004
    14.022830838	229103	r016
    14.022830838	5890	r017
    14.524588095	501756145	r0FF
    14.524588095	149967149	r01B
    14.524588095	66457953	r073
    14.524588095	3894518	r075
    14.524588095	52124851	r004
    14.524588095	148264	r016
    14.524588095	2810	r017
    15.025420062	500832343	r0FF
    15.025420062	149602953	r01B
    15.025420062	66328020	r073
    15.025420062	3877063	r075
    15.025420062	51987709	r004
    15.025420062	205251	r016
    15.025420062	5115	r017
    15.526233362	500815264	r0FF
    15.526233362	149483697	r01B
    15.526233362	66270776	r073
    15.526233362	3875138	r075
    15.526233362	51945635	r004
    15.526233362	224597	r016
    15.526233362	5428	r017
    16.027122745	500890740	r0FF
    16.027122745	149549331	r01B
    16.027122745	66301812	r073
    16.027122745	3876390	r075
    16.027122745	51968690	r004
    16.027122745	205986	r016
    16.027122745	4940	r017
    16.527955211	500832488	r0FF
    16.527955211	149719811	r01B
    16.527955211	66354381	r073
    16.527955211	3886566	r075
    16.527955211	52038908	r004
    16.527955211	146662	r016
    16.527955211	2994	r017
    17.028761220	500807067	r0FF
    17.028761220	149502059	r01B
    17.028761220	66290631	r073
    17.028761220	3872304	r075
    17.028761220	51949408	r004
    17.028761220	230505	r016
    17.028761220	5977	r017
    17.529611061	500849754	r0FF
    17.529611061	149512669	r01B
    17.529611061	66292971	r073
    17.529611061	3873858	r075
    17.529611061	51949939	r004
    17.529611061	227955	r016
    17.529611061	5697	r017
    18.030474111	500865031	r0FF
    18.030474111	149736430	r01B
    18.030474111	66365878	r073
    18.030474111	3885788	r075
    18.030474111	52040883	r004
    18.030474111	154468	r016
    18.030474111	2906	r017
    18.531305078	500830888	r0FF
    18.531305078	149582624	r01B
