Start:	1357664168034943699
Event 1 Label:	CPU cycles		RAW Identifier:	r0FF
Event 2 Label:	Instructions architecturally executed		RAW Identifier:	r008
Event 3 Label:	Exceptions taken		RAW Identifier:	r009
Event 4 Label:	Predictable branch speculatively executed		RAW Identifier:	r012
Event 5 Label:	Mispredicted or not predicted branch speculatively executed		RAW Identifier:	r010
     0.500336027	963666	r0FF
     0.500336027	67923	r008
     0.500336027	5	r009
     0.500336027	12489	r012
     0.500336027	821	r010
     1.001115595	240111	r0FF
     1.001115595	42538	r008
     1.001115595	5	r009
     1.001115595	8388	r012
     1.001115595	597	r010
     1.501732081	213118	r0FF
     1.501732081	42214	r008
     1.501732081	5	r009
     1.501732081	8985	r012
     1.501732081	625	r010
     2.002357399	411728	r0FF
     2.002357399	84944	r008
     2.002357399	6	r009
     2.002357399	18217	r012
     2.002357399	1668	r010
     2.502965384	223855	r0FF
     2.502965384	46618	r008
     2.502965384	5	r009
     2.502965384	9923	r012
     2.502965384	622	r010
     3.003586453	213927	r0FF
     3.003586453	43193	r008
     3.003586453	5	r009
     3.003586453	9168	r012
     3.003586453	659	r010
     3.504231813	214574	r0FF
     3.504231813	43169	r008
     3.504231813	5	r009
     3.504231813	8832	r012
     3.504231813	589	r010
     4.004906256	211879	r0FF
     4.004906256	41408	r008
     4.004906256	5	r009
     4.004906256	8957	r012
     4.004906256	635	r010
     4.505516699	211137	r0FF
     4.505516699	41401	r008
     4.505516699	5	r009
     4.505516699	8787	r012
     4.505516699	649	r010
     5.006128518	176168	r0FF
     5.006128518	41393	r008
     5.006128518	5	r009
     5.006128518	8729	r012
     5.006128518	614	r010
     5.506775086	215642	r0FF
     5.506775086	40909	r008
     5.506775086	5	r009
     5.506775086	8675	r012
     5.506775086	627	r010
     6.007382697	476209	r0FF
     6.007382697	92203	r008
     6.007382697	6	r009
     6.007382697	19589	r012
     6.007382697	1771	r010
     6.508021182	223683	r0FF
     6.508021182	42271	r008
     6.508021182	5	r009
     6.508021182	8873	r012
     6.508021182	618	r010
     7.008647750	215144	r0FF
     7.008647750	39678	r008
     7.008647750	5	r009
     7.008647750	8463	r012
     7.008647750	582	r010
     7.509257652	213476	r0FF
     7.509257652	39667	r008
     7.509257652	5	r009
     7.509257652	8400	r012
     7.509257652	584	r010
     8.009982137	214674	r0FF
     8.009982137	41397	r008
     8.009982137	5	r009
     8.009982137	8979	r012
     8.009982137	627	r010
     8.510704955	215441	r0FF
     8.510704955	41371	r008
     8.510704955	5	r009
     8.510704955	9111	r012
     8.510704955	623	r010
     9.011338815	214727	r0FF
     9.011338815	41479	r008
     9.011338815	5	r009
     9.011338815	8404	r012
     9.011338815	555	r010
     9.511965675	215153	r0FF
     9.511965675	40955	r008
     9.511965675	5	r009
     9.511965675	8682	r012
     9.511965675	627	r010
    10.012584660	504497	r0FF
    10.012584660	90562	r008
    10.012584660	6	r009
    10.012584660	18715	r012
    10.012584660	1739	r010
    10.513202562	221292	r0FF
    10.513202562	41311	r008
    10.513202562	5	r009
    10.513202562	8869	r012
    10.513202562	580	r010
    11.013815714	214239	r0FF
    11.013815714	39683	r008
    11.013815714	5	r009
    11.013815714	8432	r012
    11.013815714	569	r010
    11.514433866	213275	r0FF
    11.514433866	39659	r008
    11.514433866	5	r009
    11.514433866	8415	r012
    11.514433866	555	r010
    12.015106142	214072	r0FF
    12.015106142	40504	r008
    12.015106142	5	r009
    12.015106142	8816	r012
    12.015106142	599	r010
    12.515720086	214366	r0FF
    12.515720086	41487	r008
    12.515720086	5	r009
    12.515720086	8820	r012
    12.515720086	595	r010
    13.016342071	214334	r0FF
    13.016342071	41487	r008
    13.016342071	5	r009
    13.016342071	8741	r012
    13.016342071	609	r010
    13.517051306	214510	r0FF
    13.517051306	40926	r008
    13.517051306	5	r009
    13.517051306	8678	r012
    13.517051306	588	r010
    14.017670916	448491	r0FF
    14.017670916	87392	r008
    14.017670916	6	r009
    14.017670916	18083	r012
    14.017670916	1677	r010
    14.518367317	221571	r0FF
    14.518367317	41368	r008
    14.518367317	5	r009
    14.518367317	8871	r012
    14.518367317	580	r010
    15.018981511	212898	r0FF
    15.018981511	39683	r008
    15.018981511	5	r009
    15.018981511	8417	r012
    15.018981511	580	r010
    15.519594246	212506	r0FF
    15.519594246	39659	r008
    15.519594246	5	r009
    15.519594246	8456	r012
    15.519594246	610	r010
    16.020288273	213833	r0FF
    16.020288273	41400	r008
    16.020288273	5	r009
    16.020288273	8954	r012
    16.020288273	596	r010
    16.520909674	213203	r0FF
    16.520909674	41419	r008
    16.520909674	5	r009
    16.520909674	8859	r012
    16.520909674	587	r010
    17.021535410	242953	r0FF
    17.021535410	41493	r008
    17.021535410	5	r009
    17.021535410	8741	r012
    17.021535410	591	r010
    17.522258353	213575	r0FF
    17.522258353	40829	r008
    17.522258353	5	r009
    17.522258353	8666	r012
    17.522258353	579	r010
    18.022976879	470913	r0FF
    18.022976879	90475	r008
    18.022976879	6	r009
    18.022976879	18680	r012
    18.022976879	1764	r010
    18.523799197	225424	r0FF
    18.523799197	44864	r008
    18.523799197	5	r009
    18.523799197	9885	r012
    18.523799197	641	r010
    19.024505432	218926	r0FF
    19.024505432	43153	r008
    19.024505432	5	r009
    19.024505432	9153	r012
    19.024505432	631	r010
    19.525270333	215571	r0FF
    19.525270333	43125	r008
    19.525270333	5	r009
    19.525270333	9141	r012
    19.525270333	608	r010
    20.025984818	215407	r0FF
    20.025984818	43191	r008
    20.025984818	5	r009
    20.025984818	8979	r012
    20.025984818	583	r010
    20.526690553	213202	r0FF
    20.526690553	41465	r008
    20.526690553	5	r009
    20.526690553	8804	r012
    20.526690553	585	r010
    21.027406246	213240	r0FF
    21.027406246	41467	r008
    21.027406246	5	r009
    21.027406246	8738	r012
    21.027406246	567	r010
    21.528128147	212046	r0FF
    21.528128147	40973	r008
    21.528128147	5	r009
    21.528128147	8664	r012
    21.528128147	559	r010
    22.028847549	443023	r0FF
    22.028847549	87981	r008
    22.028847549	6	r009
    22.028847549	18167	r012
    22.028847549	1720	r010
    22.529559784	223787	r0FF
    22.529559784	44820	r008
    22.529559784	5	r009
    22.529559784	9883	r012
    22.529559784	613	r010
    23.030355143	213959	r0FF
    23.030355143	43135	r008
    23.030355143	5	r009
    23.030355143	9166	r012
    23.030355143	599	r010
    23.531196336	213323	r0FF
    23.531196336	43119	r008
    23.531196336	5	r009
    23.531196336	9157	r012
    23.531196336	609	r010
    24.031917654	214332	r0FF
    24.031917654	43201	r008
    24.031917654	5	r009
    24.031917654	8996	r012
    24.031917654	606	r010
    24.532665847	580221	r0FF
    24.532665847	42100	r008
    24.532665847	5	r009
    24.532665847	9134	r012
    24.532665847	601	r010
    25.033457082	328144	r0FF
    25.033457082	40888	r008
    25.033457082	5	r009
    25.033457082	8730	r012
    25.033457082	567	r010
    25.534242108	332429	r0FF
    25.534242108	41606	r008
    25.534242108	5	r009
    25.534242108	9298	r012
    25.534242108	623	r010
    26.035120717	588414	r0FF
    26.035120717	95273	r008
    26.035120717	6	r009
    26.035120717	19232	r012
    26.035120717	1782	r010
    26.535890494	342040	r0FF
    26.535890494	46483	r008
    26.535890494	5	r009
    26.535890494	9887	r012
    26.535890494	683	r010
    27.036676770	338088	r0FF
    27.036676770	42963	r008
    27.036676770	5	r009
    27.036676770	9090	r012
    27.036676770	642	r010
    27.537477754	330547	r0FF
    27.537477754	43750	r008
    27.537477754	5	r009
    27.537477754	9491	r012
    27.537477754	670	r010
    28.038261489	338181	r0FF
    28.038261489	42468	r008
    28.038261489	5	r009
    28.038261489	8655	r012
    28.038261489	561	r010
    28.539193015	330071	r0FF
    28.539193015	41587	r008
    28.539193015	5	r009
    28.539193015	8790	r012
    28.539193015	564	r010
    29.040043249	336066	r0FF
    29.040043249	43271	r008
    29.040043249	5	r009
    29.040043249	9108	r012
    29.040043249	623	r010
    29.540845650	328034	r0FF
    29.540845650	39105	r008
    29.540845650	5	r009
    29.540845650	9245	r012
    29.540845650	651	r010
    30.041628427	632396	r0FF
    30.041628427	120696	r008
    30.041628427	6	r009
    30.041628427	28929	r012
    30.041628427	1844	r010
    30.542335661	341619	r0FF
    30.542335661	40277	r008
    30.542335661	5	r009
    30.542335661	8557	r012
    30.542335661	601	r010
