Start:	1428611512271135232
Event1 Name:	r0FF
Event2 Name:	r01B
Event3 Name:	r073
Event4 Name:	r075
Event5 Name:	r004
Event6 Name:	r016
Event7 Name:	r017
    16.520388307	1802323	r004
    16.520388307	228935	r016
    16.520388307	6007	r017
    17.020985001	19491394	r0FF
    17.020985001	284815	r01B
    17.020985001	13019	r073
    17.020985001	0	r075
    17.020985001	1784464	r004
    17.020985001	284857	r016
    17.020985001	13026	r017
    17.521575654	17083147	r0FF
    17.521575654	213387	r01B
    17.521575654	2775	r073
    17.521575654	0	r075
    17.521575654	1552187	r004
    17.521575654	213259	r016
    17.521575654	2766	r017
    18.022181181	19506130	r0FF
    18.022181181	271547	r01B
    18.022181181	4135	r073
    18.022181181	0	r075
    18.022181181	1924343	r004
    18.022181181	271687	r016
    18.022181181	4137	r017
    18.522773292	16454356	r0FF
    18.522773292	264875	r01B
    18.522773292	2087	r073
    18.522773292	0	r075
    18.522773292	1499523	r004
    18.522773292	264855	r016
    18.522773292	2084	r017
    19.023372945	9890224	r0FF
    19.023372945	176892	r01B
    19.023372945	1740	r073
    19.023372945	0	r075
    19.023372945	1463158	r004
    19.023372945	176878	r016
    19.023372945	1738	r017
    19.523973056	16767945	r0FF
    19.523973056	205203	r01B
    19.523973056	2021	r073
    19.523973056	0	r075
    19.523973056	1528027	r004
    19.523973056	205119	r016
    19.523973056	2020	r017
    20.024551750	16764875	r0FF
    20.024551750	251291	r01B
    20.024551750	2285	r073
    20.024551750	0	r075
    20.024551750	1461764	r004
    20.024551750	251275	r016
    20.024551750	2287	r017
    20.525212278	18505466	r0FF
    20.525212278	273771	r01B
    20.525212278	5979	r073
    20.525212278	0	r075
    20.525212278	1709840	r004
    20.525212278	273882	r016
    20.525212278	5982	r017
    21.025839139	17017284	r0FF
    21.025839139	206154	r01B
    21.025839139	2332	r073
    21.025839139	0	r075
    21.025839139	1555047	r004
    21.025839139	206052	r016
    21.025839139	2328	r017
    21.526433375	10859581	r0FF
    21.526433375	182163	r01B
    21.526433375	1811	r073
    21.526433375	0	r075
    21.526433375	1491359	r004
    21.526433375	182132	r016
    21.526433375	1813	r017
    22.027045944	17475937	r0FF
    22.027045944	276422	r01B
    22.027045944	3387	r073
    22.027045944	0	r075
    22.027045944	1797810	r004
    22.027045944	276453	r016
    22.027045944	3388	r017
    22.527641097	16972432	r0FF
    22.527641097	237704	r01B
    22.527641097	2180	r073
    22.527641097	0	r075
    22.527641097	1513506	r004
    22.527641097	237684	r016
    22.527641097	2176	r017
    23.028244167	17220723	r0FF
    23.028244167	223736	r01B
    23.028244167	3677	r073
    23.028244167	0	r075
    23.028244167	1564860	r004
    23.028244167	223725	r016
    23.028244167	3682	r017
    23.528836820	17100998	r0FF
    23.528836820	245679	r01B
    23.528836820	2417	r073
    23.528836820	0	r075
    23.528836820	1533946	r004
    23.528836820	245685	r016
    23.528836820	2414	r017
    24.029485348	13653382	r0FF
    24.029485348	248665	r01B
    24.029485348	1784	r073
    24.029485348	0	r075
    24.029485348	1659690	r004
    24.029485348	248772	r016
    24.029485348	1782	r017
    24.530106126	13544735	r0FF
    24.530106126	192900	r01B
    24.530106126	1830	r073
    24.530106126	0	r075
    24.530106126	1475865	r004
    24.530106126	192903	r016
    24.530106126	1832	r017
    25.030718487	14998351	r0FF
    25.030718487	197742	r01B
    25.030718487	2649	r073
    25.030718487	0	r075
    25.030718487	1193655	r004
    25.030718487	197767	r016
    25.030718487	2651	r017
    25.531393181	19357485	r0FF
    25.531393181	294023	r01B
    25.531393181	5316	r073
    25.531393181	0	r075
    25.531393181	1871647	r004
    25.531393181	294011	r016
    25.531393181	5318	r017
    26.032014209	18962014	r0FF
    26.032014209	248829	r01B
    26.032014209	3407	r073
    26.032014209	0	r075
    26.032014209	1856769	r004
    26.032014209	248834	r016
    26.032014209	3405	r017
    26.533087070	14075186	r0FF
    26.533087070	189266	r01B
    26.533087070	1737	r073
    26.533087070	0	r075
    26.533087070	1457605	r004
    26.533087070	189157	r016
    26.533087070	1735	r017
    27.033710640	11919624	r0FF
    27.033710640	187791	r01B
    27.033710640	1723	r073
    27.033710640	0	r075
    27.033710640	1501858	r004
    27.033710640	187885	r016
    27.033710640	1724	r017
    27.534352626	17603444	r0FF
    27.534352626	256990	r01B
    27.534352626	2317	r073
    27.534352626	0	r075
    27.534352626	1619482	r004
    27.534352626	256996	r016
    27.534352626	2314	r017
    28.034953988	18363449	r0FF
    28.034953988	266331	r01B
    28.034953988	2082	r073
    28.034953988	0	r075
    28.034953988	1754581	r004
    28.034953988	266235	r016
    28.034953988	2084	r017
    28.535558641	16485138	r0FF
    28.535558641	203215	r01B
    28.535558641	1678	r073
    28.535558641	0	r075
    28.535558641	1477167	r004
    28.535558641	203202	r016
    28.535558641	1676	r017
    29.036159169	18625783	r0FF
    29.036159169	279185	r01B
    29.036159169	12873	r073
    29.036159169	0	r075
    29.036159169	1780826	r004
    29.036159169	279185	r016
    29.036159169	12885	r017
    29.536763906	17716070	r0FF
    29.536763906	324325	r01B
    29.536763906	6571	r073
    29.536763906	0	r075
    29.536763906	2657579	r004
    29.536763906	324323	r016
    29.536763906	6568	r017
    30.037374184	16741979	r0FF
    30.037374184	208034	r01B
    30.037374184	4679	r073
    30.037374184	0	r075
    30.037374184	1476448	r004
    30.037374184	208147	r016
    30.037374184	4674	r017
    30.538064212	19454100	r0FF
    30.538064212	259157	r01B
    30.538064212	5574	r073
    30.538064212	0	r075
    30.538064212	1904794	r004
    30.538064212	259035	r016
    30.538064212	5573	r017
    31.038662991	35899156	r0FF
    31.038662991	691020	r01B
    31.038662991	21805	r073
    31.038662991	0	r075
    31.038662991	4391721	r004
    31.038662991	691200	r016
    31.038662991	21820	r017
