#Timestamp	CPU cycles	Instructions architecturally executed	Exceptions taken	Predictable branch speculatively executed	Mispredicted or not predicted branch speculatively executed
1357490266692453909	683217	28230	2	5966	381
1357490267193426018	689407	30664	2	6588	430
1357490267694703293	687213	27300	2	5825	388
1357490268195399736	705326	30462	2	6582	427
1357490268696173221	800439	67240	3	14181	1189
1357490269196975539	678729	28378	2	5961	437
1357490269697774523	684183	30401	2	6534	441
1357490270198779632	680724	27709	2	5845	536
1357490270699552450	723558	39361	3	8428	394
1357490271200303768	684503	30378	2	6549	401
1357490271701085378	672231	27972	2	5915	415
1357490272201871654	676468	29916	2	6421	404
1357490272702853930	780862	67146	3	14136	1261
1357490273203765039	687155	28789	3	8691	606
1357490273704511940	714691	39693	2	5982	397
1357490274205309925	596407	30936	2	6605	423
1357490274706088284	672852	27721	2	5890	368
1357490275206850644	672560	30274	2	6553	394
1357490275707663337	663635	28329	2	5960	396
1357490276208473488	661173	30143	2	6445	411
1357490276709352347	791184	68132	3	14378	1351
1357490277210270165	658946	28004	2	5915	443
1357490277711262690	677696	30235	2	6510	439
1357490278212039591	665391	27569	2	5841	385
1357490278712824159	657997	30439	2	6575	378
1357490279213801810	652607	40598	2	8969	563
1357490279714568670	682710	28336	2	5958	370
1357490280215335779	540102	30123	2	6479	380
1357490280716085139	740143	66834	3	14121	1277
1357490281216861415	650411	27739	2	5865	369
1357490281717665733	650602	30104	2	6498	405
1357490282218435676	649932	28520	2	5985	415
1357490282719280494	652701	30115	2	6500	357
1357490283220151811	644109	27689	2	5869	349
1357490283720945129	649893	30664	2	6550	399
1357490284221738656	634523	27455	2	5807	382
1357490284722582598	783849	66627	3	14055	1222
1357490285223373625	659260	30532	2	6549	427
1357490285724295317	637593	27526	2	5862	385
1357490286225072635	646714	31026	2	6634	419
1357490286725865369	636337	27712	2	5848	407
1357490287226666146	647780	30113	2	6469	395
1357490287745774735	503055	27721	2	5885	357
1357490288246571053	622292	30381	2	6507	411
1357490288747358246	752559	66736	3	14072	1220
1357490289248172064	629940	27616	2	5870	370
1357490289749123090	646337	30284	2	6519	416
1357490290249867616	632849	27865	2	5915	344
1357490290750641017	617840	31179	2	6653	424
1357490291251448085	628063	27709	2	5848	412
1357490291752273570	626610	30398	2	6492	428
1357490292253108721	635242	26952	2	5744	389
1357490292753901539	772625	68718	3	14406	1333
1357490293254676482	680933	30433	2	6565	429
1357490293755497591	381973	27712	2	5883	392
1357490294256302992	359560	30401	2	6584	418
1357490294757077810	388034	27426	2	5821	365
1357490295257892295	344874	30664	2	6600	429
1357490295758753862	384451	38617	2	8346	540
1357490296259539264	395712	28084	2	5917	384
1357490296760429623	477609	67026	3	14151	1259
1357490297261300482	388545	30193	2	6518	417
1357490297762407091	336648	27932	2	5921	400
1357490298263370950	387043	30115	2	6475	406
1357490298764252351	337829	27998	2	5943	402
1357490299265066918	342675	30138	2	6525	411
1357490299765873236	371048	27958	2	5909	404
1357490300266695304	332830	30114	2	6478	404
1357490300767487122	488834	66720	3	14119	1237
1357490301268327981	353637	27692	2	5859	367
1357490301769291132	345448	30335	2	6570	418
1357490302270070408	369648	28050	2	5924	375
1357490302771029101	330359	30416	2	6540	383
1357490303271824419	366764	27744	2	5885	352
1357490303772654320	333363	30312	2	6517	386
1357490304273441221	360103	27696	2	5849	398
1357490304774333913	478606	67453	3	14246	1259
1357490305275128231	336490	30448	2	6584	403
1357490305775907091	360386	27715	2	5982	371
1357490306276756617	306333	30382	3	6482	391
1357490306777541727	343904	27978	2	5910	398
1357490307278392128	345208	30118	2	6523	399
1357490307779501236	337989	27969	2	5924	385
1357490308280302221	363935	30143	2	6506	410
1357490308781130622	435232	66908	3	14100	1255
1357490309281936065	360740	27546	2	5852	402
1357490309782761257	322058	30547	2	6559	438
1357490310283555450	358104	27426	2	5791	350
1357490310784475393	346915	30330	2	6585	379
1357490311285353252	336198	28052	2	5931	372
1357490311786146362	364236	30378	2	6541	388
1357490312286985638	317159	27720	2	5845	396
1357490312788007996	464137	61419	3	12903	1143
1357490313288885397	323214	30720	2	6577	407
1357490313789701132	349503	28335	2	5950	412
1357490314290460158	352242	30063	2	6523	401
1357490314791630516	287516	27963	2	5995	373
1357490315292368668	354716	30817	2	6631	398
1357490315793200736	320492	27655	2	5869	386
1357490316294039803	354445	30409	2	6519	429
1357490316794826663	471655	66665	3	14104	1293
1357490317295612814	318743	27978	2	5918	410
1357490317798208751	361225	30115	2	6516	394
1357490318299117735	313662	27764	2	5868	385
1357490318799895720	359781	30400	2	6542	417
1357490319300702204	319753	27884	2	5880	416
1357490319801422481	350817	30112	2	6509	406
1357490320302220424	353406	27554	2	5827	346
1357490320803019533	436882	67840	3	14352	1269
1357490321303832851	359594	30181	2	6525	416
1357490321804620877	313194	27944	2	5889	392
1357490322305388029	358416	30121	2	6524	402
1357490322806327263	329378	27686	2	5880	353
1357490323307151205	299204	30664	2	6611	428
1357490323807926107	349021	27423	2	5820	380
1357490324308814383	312644	30516	2	6588	407
1357490324809578492	465020	66714	3	14033	1204
1357490325310368394	335295	27755	2	5899	371
1357490325811150795	321741	30318	2	6541	395
1357490326311930613	342610	27692	2	5870	352
1357490326812686764	424264	30381	2	6554	398
1357490327313539457	109749	27596	2	5903	375
1357490327814615274	142637	30694	2	6633	424
1357490328315427800	131864	27617	2	5847	372
1357490328816327492	247554	67101	3	14207	1205
1357490329317056019	137309	30894	2	6658	434
1357490329817810504	111387	27821	2	5944	385
1357490330319207069	137017	30693	2	6619	409
1357490330819933054	96662	28520	3	7042	493
1357490331320700414	137048	30279	2	5525	351
1357490331821472607	132860	27573	2	5832	359
1357490332322234383	115282	30123	2	6490	390
1357490332823173617	250777	66940	3	14129	1228
1357490333324015310	134402	27745	2	5855	397
1357490333824780920	139392	30265	2	6531	428
1357490334325544446	110220	27652	2	5894	368
1357490334826275264	138302	30733	2	6606	414
1357490335327016915	130760	27596	3	5996	408
1357490335827813858	140790	30407	2	6467	397
1357490336328550801	132482	27962	2	5881	361
1357490336829382661	227584	66640	3	14115	1234
1357490337330104229	141587	30789	2	6630	426
1357490337830955838	134687	28131	2	5973	384
1357490338331658448	139313	30566	2	6600	378
1357490338832420975	99790	28649	2	6079	381
1357490339333192334	113331	29923	2	6494	405
1357490339834020735	133641	28041	2	5915	362
1357490340334811053	137421	30133	2	6503	376
1357490340835613204	255121	66883	3	14159	1230
1357490341336380147	111241	27692	2	5863	381
1357490341837137757	138634	30381	2	6527	396
1357490342337882825	132207	27692	2	5878	353
1357490342849914564	137041	30381	2	6552	387
1357490343350686340	133144	27689	2	5877	348
1357490343851449408	114993	30262	2	6583	399
1357490344352289184	135153	27817	2	5883	364
1357490344853018669	252661	66903	3	14217	1204
1357490345353781070	143063	30725	2	6616	432
1357490345854522680	125995	28182	2	5991	365
1357490346355253040	127632	30528	2	6623	389
1357490346855954899	135293	27991	2	5947	361
1357490347356646676	106358	30920	2	6655	423
1357490347857517660	131663	27689	2	5855	360
1357490348358263562	116558	30123	2	6491	387
1357490348859076171	251781	67035	3	14132	1215
1357490349359816698	134223	27689	2	5907	371
1357490349860580016	139910	30381	2	6554	398
1357490350361374875	133943	32607	2	6915	474
1357490350862158901	123099	25349	2	5513	370
1357490351362884178	136168	28106	2	5913	360
1357490351863668829	138935	30160	2	6560	517
1357490352364401355	152425	34029	3	7210	354
1357490352865333506	230321	66879	3	14170	1245
1357490353366056283	142734	30810	2	6648	414
1357490353866769309	135506	28004	2	5971	358
1357490354367483044	140086	30705	2	6636	390
1357490354868185362	135336	27993	2	5965	371
1357490355368964597	85545	30539	1	6607	383
1357490355869680915	131912	28106	2	5981	364
1357490356370437441	140310	30651	2	6552	403
1357490356871183884	251580	66923	3	14118	1178
1357490357371946286	133855	27636	2	5902	387
1357490357872862978	126462	30643	2	6618	407
1357490358373762879	380801	29400	3	8773	580
1357490358874547030	309846	39979	2	5965	382
1357490359375420431	310955	30285	2	6555	392
1357490359876204458	352118	27888	2	5952	367
1357490360377040567	337748	31034	2	6656	407
1357490360877911385	422329	66432	3	14116	1241
1357490361378798452	318579	41001	2	8766	603
1357490361879528937	357703	28249	2	5986	361
1357490362380370213	344105	30736	2	6601	397
1357490362881585071	314920	28054	2	5906	349
1357490363382454305	298627	30378	2	6523	383
1357490363883314706	291239	27706	2	5879	349
1357490364384305690	348308	30106	2	6453	371
1357490364885181966	455640	66875	3	14178	1276
1357490365386104450	303283	28135	2	5941	390
1357490365886972893	314747	30381	2	6554	381
1357490366387833627	305853	27692	2	5850	336
1357490366888748028	358981	31802	3	8703	556
1357490367389664804	341798	34591	2	5433	400
1357490367892507865	317010	30064	2	6475	387
1357490368393395641	310391	28072	2	5889	391
1357490368894336125	455682	66362	3	14014	1207
1357490369395219359	342572	30954	2	6588	430
1357490369896142010	306028	27738	2	5894	371
1357490370397036411	314875	30335	2	6528	391
1357490370897905645	302209	27978	2	5939	387
1357490371398862296	360122	29956	2	6507	397
1357490371899724447	81759911	37632323	50	7640220	173405
1357490372400591181	307287	31931	2	6776	499
1357490374599671253	441544	69552	4	15251	1633
1357490375100469363	324381	25321	2	4202	304
1357490375601283889	336586	28194	2	5975	440
1357490376102196165	308047	25428	2	5270	367
1357490376603052274	308544	27728	2	5809	358
1357490377103942758	10604848	4508049	14	925007	32037
1357490377604787326	251772	31127	2	6546	466
1357490378320018007	322730	33586	1	7115	522
1357490378820879033	308929	29454	2	6200	445
1357490379321721101	364104	32104	2	6844	427
1357490379822654793	325394	30598	2	6353	460
1357490380323710318	315286	32144	2	6888	568
1357490380824579428	462619	76022	4	15471	1450
1357490381325422495	326451	24643	2	5102	372
1357490381826294605	549901	110850	3	21293	1964
1357490382327224422	318861	32480	2	6944	508
1357490382828108323	312758	30001	2	6310	426
1357490383329094140	312414	32134	2	6882	460
1357490383829983416	343536	27633	2	5866	366
1357490384330877025	340159	30396	2	6498	400
1357490384831814426	420712	67131	3	14217	1374
1357490385332697369	311773	28055	2	5917	382
1357490385833517437	303949	30824	2	6605	405
1357490386334460712	331226	27804	2	5878	353
1357490386835387863	314896	30226	2	6538	390
1357490387336265764	308946	28038	2	5887	352
1357490387837067915	310339	30148	2	6527	396
1357490388337962358	341898	27922	2	5874	357
1357490388838875217	452760	67167	3	14135	1282
1357490389339794993	307788	30672	2	6612	435
1357490389840675477	309491	28049	2	5955	348
1357490390341558711	309039	30738	2	6572	408
1357490390842390237	349030	27689	2	5885	351
1357490391343331805	323376	30693	2	6573	413
1357490391844474163	305229	27450	2	5835	341
1357490392345211981	311923	30015	2	6471	384
1357490392845924466	448317	67006	3	14153	1259
1357490393346836409	708610	28342	2	5967	399
1357490393847676143	853538	30555	2	6559	415
1357490394348480377	111567	27423	2	5832	374
1357490394849410612	304268	30288	2	6517	381
1357490395350266679	332804	28091	2	5917	388
1357490395851104789	116172	30684	2	6568	421
1357490396351957815	329940	27431	2	5796	380
1357490396852802174	231914	67121	3	14168	1282
1357490397353744991	336781	30306	2	8568	637
1357490397854561184	237423	35344	3	5338	312
1357490398355400710	233694	30633	2	6588	398
1357490398856242236	330875	27816	2	5893	361
1357490399357082304	117329	30271	2	6498	387
1357490399857939413	331496	27758	2	5905	373
1357490400358850939	145880	30220	2	6458	364
1357490400859685299	423436	66688	3	14175	1294
1357490401360526991	333795	28160	2	5921	423
1357490401861361559	118534	30548	2	6548	475
1357490402362211460	297364	27729	2	5888	413
1357490402863060903	144677	30404	2	6547	422
1357490403363989804	303383	27703	2	5874	407
1357490403864837663	273000	30394	2	6554	417
1357490404365683147	177869	27461	2	5811	400
1357490404866526299	456827	67891	3	14319	1333
1357490405367363700	119143	30433	2	6539	452
1357490405868216184	331509	27709	2	5848	399
1357490406369167918	197189	29885	2	6515	398
1357490406869947736	251654	28517	2	5945	393
1357490407370887178	336449	30398	2	6524	422
1357490407871692996	112063	27492	2	5848	361
1357490408372741355	334849	30167	2	6505	392
1357490408873581214	258423	66762	3	14125	1272
1357490409374541532	306148	28332	2	5928	401
1357490409875367474	318276	30401	2	6482	398
1357490410376199959	94502	27731	2	5845	348
1357490410877041443	335506	30486	2	6576	383
1357490411377863761	136855	27138	2	5800	346
1357490411878707704	311649	31131	2	6887	548
1357490412379629146	264822	35044	3	7120	358
1357490412880569505	320939	67440	3	14304	1254
1357490413387204929	336385	30305	2	6507	471
1357490413888139371	113834	27688	2	5837	399
1357490414389182855	335889	30421	2	6519	397
1357490414890105630	158720	27363	2	5836	383
1357490415390978740	289722	31123	2	6679	397
1357490415891916974	329584	27579	2	5852	407
1357490416392844083	118126	30156	2	6470	425
1357490416893931983	451595	66979	3	14196	1213
1357490417395017675	140995	27689	2	5907	408
1357490417895904618	273640	30683	2	6565	421
1357490418397069809	328193	27527	2	5876	372
1357490418897994210	116589	30547	2	6574	415
1357490419399093569	330415	27706	2	5855	386
1357490419899979428	129172	30071	2	6536	391
1357490420400785621	319045	27900	2	5865	364
1357490420901694147	341791	66970	3	14206	1175
1357490421402620756	222224	30597	2	6550	441
1357490421903562115	27899240	12684303	18	2591623	60509
1357490422404636598	365098	103816	8	22136	2421
1357490422905484624	341461	32742	2	6983	532
1357490423406446733	114275	29148	2	6209	420
1357490423907166260	84355	32366	1	6989	407
1357490424407866036	75242	28603	1	6048	361
1357490424908700354	417699	68692	3	14547	1638
1357490425409525797	145444	40262	3	8668	446
1357490425910359823	336690	30767	2	6589	442
1357490426411153433	205906	27274	2	5726	377
1357490426911973709	240325	30667	2	6557	435
1357490427412773943	330650	29321	2	6195	405
1357490427913749677	117581	29905	3	8210	575
1357490428414780411	356107	35814	2	5669	402
1357490428915609687	262056	68260	3	14647	1357
1357490429416377713	403913	30183	2	6539	434
1357490429917105782	170684	27928	2	5912	386
1357490430417849641	213485	30903	2	6590	414
1357490430918576084	177266	28041	2	5920	375
1357490431419359819	212185	30514	2	6569	393
1357490431920070262	8827514	3328992	166	688298	57074
1357490432420768580	222814	32464	2	6904	549
1357490432921573357	337288	69021	4	16679	1666
1357490433422336216	232920	34590	3	5348	362
1357490433923075159	211717	31911	2	6919	467
1357490434423848477	203059	29813	2	6276	410
1357490434924575754	203959	32378	2	6963	421
1357490435425269280	199763	28091	2	5906	352
1357490435926006348	208155	30797	2	6634	379
1357490436426710041	207309	27791	2	5872	366
1357490436927449276	320416	66911	3	14192	1264
1357490437428238011	202557	30725	2	6631	404
1357490437929032787	201011	28014	2	5949	369
1357490438429763313	192872	30789	2	6610	370
1357490438930478965	190732	28018	2	5898	338
1357490439431182491	202167	30690	2	6587	369
1357490439931903810	194487	27945	2	5937	353
1357490440432608419	201038	30454	2	6530	381
1357490440933336446	309804	67236	3	14142	1220
1357490441434155805	189311	28099	2	5889	363
1357490441934852832	192211	30597	2	6564	406
1357490442435555858	186610	28166	2	5954	359
1357490442936287302	196481	30600	2	6589	394
1357490443437003828	198034	27971	2	5904	346
1357490443937723438	194738	30688	2	6561	365
1357490444438441506	186789	27864	2	5856	347
1357490444939315407	300526	64856	3	13709	1233
1357490445440017100	193531	30903	2	6605	429
1357490445940772460	184988	27915	2	5895	362
1357490446441512611	174180	30829	2	6571	372
1357490446942248263	198958	27995	2	5908	341
1357490447442990622	203417	30789	2	6598	409
1357490447943771315	194743	35939	2	7715	563
1357490448444469384	197023	23023	2	4878	329
1357490448945203702	312151	67161	3	14195	1296
1357490449445883478	192479	28317	2	5918	377
1357490449946619046	191944	30161	2	6552	383
1357490450447432697	190710	28313	2	5952	348
1357490450948165182	194264	30319	2	6494	367
1357490451448962958	189343	27466	2	5865	355
1357490451949689443	193512	30714	2	6609	368
1357490452450437220	193863	27900	2	5844	332
1357490452951262746	305661	67176	3	14169	1180
1357490453452014647	190502	30661	2	6586	419
1357490453952724590	159459	28001	2	5908	325
1357490454453439283	197680	30868	2	6611	363
1357490454954294643	183470	27754	2	5906	338
1357490455455003836	192076	30992	2	6601	380
1357490455955748904	188856	27456	2	5827	338
1357490456456472722	199310	30694	2	6561	379
1357490456957216499	309703	66638	3	14007	1268
1357490457457946858	190165	28061	2	5912	406
1357490457958796759	192313	40201	2	8672	605
1357490458459545911	205963	25305	2	5361	340
1357490458960260729	193547	30702	2	6616	427
1357490459461048380	184413	27998	2	5916	391
1357490459961770282	191774	30703	2	6575	417
1357490460462563391	190239	27638	2	5865	469
1357490460963342376	301091	65199	4	13734	1207
1357490461464182402	163356	30725	2	6608	443
1357490461964899012	185532	28050	2	5928	369
1357490462465626163	382196	30522	2	6569	387
1357490462966373273	208554	28004	2	5947	372
1357490463467112883	203612	30763	2	6610	394
1357490463967746493	194176	27998	2	5945	368
1357490464468466227	211661	30356	2	6547	378
1357490464969322045	316095	64467	3	13500	1286
1357490465470044155	234541	27915	2	5923	384
1357490465970877014	275739	30692	2	6562	449
1357490466471627791	246360	28002	2	5900	398
1357490466972317776	289773	30704	2	6582	434
1357490467473014844	341783	27987	2	5901	389
1357490467973784620	233617	30636	2	6578	437
1357490468474513813	219013	27796	2	5882	394
1357490468975200048	327954	64028	2	13487	1231
1357490469475911783	209721	30748	2	6567	434
1357490469976690393	209559	27978	2	5923	372
1357490470477402669	210903	30759	2	6600	400
1357490470978119821	202764	28026	2	5896	346
1357490471478811555	207342	32101	2	6839	477
1357490471979594915	201580	26204	2	5569	362
1357490472480282400	223906	30538	2	6567	396
1357490472980992801	344785	65048	3	13790	1194
1357490473481682578	199281	28092	2	5911	392
1357490473982405021	224003	30639	2	6568	411
1357490474483119881	230290	28064	2	5924	368
1357490474988452267	11117948	4364792	186	887005	69593
1357490475489302668	5683146	2085440	64	436194	37409
1357490475990005653	201289	32180	1	6932	494
1357490476490792012	175434	29428	2	7265	557
1357490476991538956	289369	64020	3	12472	1342
1357490477492254440	164834	32446	2	6920	516
1357490477992971800	191592	27986	2	5893	410
1357490478493757826	199335	32192	3	8756	673
1357490478994434811	211270	34283	1	5312	365
1357490479495140713	187616	30698	2	6603	446
1357490479995825073	173486	27998	2	5906	391
1357490480496536724	170407	30435	2	6515	423
1357490480997263417	284661	68266	3	14313	1377
