Start:	1421336325681622299
Event1 Name:	r0FF
Event2 Name:	r01B
Event3 Name:	r073
Event4 Name:	r075
Event5 Name:	r004
Event6 Name:	r016
Event7 Name:	r017
     0.500193834	900682589	r0FF
     0.500193834	1410088949	r01B
     0.500193834	1129478699	r073
     0.500193834	841	r075
     0.500193834	94902499	r004
     0.500193834	1798915	r016
     0.500193834	71271	r017
     1.000820875	901133939	r0FF
     1.000820875	1320436938	r01B
     1.000820875	1048654399	r073
     1.000820875	1475	r075
     1.000820875	115491939	r004
     1.000820875	3852590	r016
     1.000820875	111566	r017
     1.501356500	900972123	r0FF
     1.501356500	1412554087	r01B
     1.501356500	1126619368	r073
     1.501356500	824	r075
     1.501356500	104371826	r004
     1.501356500	2058352	r016
     1.501356500	67411	r017
     2.001893293	900974829	r0FF
     2.001893293	1432920164	r01B
     2.001893293	1134991853	r073
     2.001893293	787	r075
     2.001893293	125247285	r004
     2.001893293	1904362	r016
     2.001893293	52393	r017
     2.502441086	900985866	r0FF
     2.502441086	1314500981	r01B
     2.502441086	1049983013	r073
     2.502441086	1435	r075
     2.502441086	103459381	r004
     2.502441086	3821882	r016
     2.502441086	103520	r017
     3.002984922	900994412	r0FF
     3.002984922	1561031010	r01B
     3.002984922	1285340492	r073
     3.002984922	267	r075
     3.002984922	94013632	r004
     3.002984922	423276	r016
     3.002984922	18691	r017
     3.503531634	900980594	r0FF
     3.503531634	1315091668	r01B
     3.503531634	1037642962	r073
     3.503531634	1423	r075
     3.503531634	114296729	r004
     3.503531634	3702280	r016
     3.503531634	98363	r017
     4.004134845	901090731	r0FF
     4.004134845	1428504203	r01B
     4.004134845	1159154450	r073
     4.004134845	883	r075
     4.004134845	99164428	r004
     4.004134845	2167328	r016
     4.004134845	65622	r017
     4.504672933	900978791	r0FF
     4.504672933	1428432592	r01B
     4.504672933	1156384202	r073
     4.504672933	758	r075
     4.504672933	96891335	r004
     4.504672933	1937684	r016
     4.504672933	53057	r017
     5.005215189	900977479	r0FF
     5.005215189	1330037860	r01B
     5.005215189	1055163869	r073
     5.005215189	1359	r075
     5.005215189	115346077	r004
     5.005215189	3777892	r016
     5.005215189	106950	r017
     5.505750736	900986445	r0FF
     5.505750736	1508109682	r01B
     5.505750736	1199072099	r073
     5.505750736	260	r075
     5.505750736	111591020	r004
     5.505750736	379741	r016
     5.505750736	13941	r017
     6.006276743	900933336	r0FF
     6.006276743	1292353797	r01B
     6.006276743	1039514152	r073
     6.006276743	1405	r075
     6.006276743	92238048	r004
     6.006276743	3867359	r016
     6.006276743	109994	r017
     6.506832001	901008597	r0FF
     6.506832001	1442915529	r01B
     6.506832001	1144569465	r073
     6.506832001	816	r075
     6.506832001	125243338	r004
     6.506832001	1927159	r016
     6.506832001	61118	r017
     7.007376550	900986925	r0FF
     7.007376550	1405961703	r01B
     7.007376550	1137420505	r073
     7.007376550	853	r075
     7.007376550	100102967	r004
     7.007376550	2229272	r016
     7.007376550	61926	r017
     7.507910184	900963083	r0FF
     7.507910184	1325366509	r01B
     7.507910184	1047546630	r073
     7.507910184	1346	r075
     7.507910184	113339475	r004
     7.507910184	3593646	r016
     7.507910184	98814	r017
     8.008451652	900991932	r0FF
     8.008451652	1538303239	r01B
     8.008451652	1277805038	r073
     8.008451652	297	r075
     8.008451652	83315949	r004
     8.008451652	530578	r016
     8.008451652	16596	r017
     8.509022288	901023423	r0FF
     8.509022288	1314861966	r01B
     8.509022288	1034061520	r073
     8.509022288	1412	r075
     8.509022288	116384198	r004
     8.509022288	3881020	r016
     8.509022288	110316	r017
     9.009574840	901000829	r0FF
     9.009574840	1444519909	r01B
     9.009574840	1174582209	r073
     9.009574840	823	r075
     9.009574840	96835954	r004
     9.009574840	1928118	r016
     9.009574840	59523	r017
     9.510119185	900987562	r0FF
     9.510119185	1413831471	r01B
     9.510119185	1130286136	r073
     9.510119185	847	r075
     9.510119185	99010714	r004
     9.510119185	2186594	r016
     9.510119185	55681	r017
    10.010716406	901076469	r0FF
    10.010716406	1335495056	r01B
    10.010716406	1060800862	r073
    10.010716406	1355	r075
    10.010716406	114116520	r004
    10.010716406	3627408	r016
    10.010716406	105070	r017
    10.511286627	901042460	r0FF
    10.511286627	1536689528	r01B
    10.511286627	1229901768	r073
    10.511286627	303	r075
    10.511286627	118192260	r004
    10.511286627	526643	r016
    10.511286627	16121	r017
    11.011830391	900973795	r0FF
    11.011830391	1313400402	r01B
    11.011830391	1033930714	r073
    11.011830391	1430	r075
    11.011830391	115906917	r004
    11.011830391	3870246	r016
    11.011830391	105967	r017
    11.512391281	901018327	r0FF
    11.512391281	1459184391	r01B
    11.512391281	1189063185	r073
    11.512391281	796	r075
    11.512391281	97165469	r004
    11.512391281	1929819	r016
    11.512391281	60694	r017
    12.012957921	901024875	r0FF
    12.012957921	1421866910	r01B
    12.012957921	1151423007	r073
    12.012957921	873	r075
    12.012957921	100267739	r004
    12.012957921	2244410	r016
    12.012957921	60328	r017
    12.513516937	901008650	r0FF
    12.513516937	1319035993	r01B
    12.513516937	1040024666	r073
    12.513516937	1363	r075
    12.513516937	115158285	r004
    12.513516937	3770340	r016
    12.513516937	106717	r017
    13.014132786	901128466	r0FF
    13.014132786	1504955196	r01B
    13.014132786	1237441794	r073
    13.014132786	259	r075
    13.014132786	81237420	r004
    13.014132786	383567	r016
    13.014132786	13538	r017
    13.514680012	900978009	r0FF
    13.514680012	1323605819	r01B
    13.514680012	1053261795	r073
    13.514680012	1421	r075
    13.514680012	116993474	r004
    13.514680012	3902944	r016
    13.514680012	109033	r017
    14.015246947	901029318	r0FF
    14.015246947	1410596466	r01B
    14.015246947	1129732115	r073
    14.015246947	802	r075
    14.015246947	96361804	r004
    14.015246947	1926183	r016
    14.015246947	60846	r017
    14.515798132	900995252	r0FF
    14.515798132	1414819782	r01B
    14.515798132	1119933017	r073
    14.515798132	843	r075
    14.515798132	121266380	r004
    14.515798132	2071828	r016
    14.515798132	55259	r017
    15.016368569	901031053	r0FF
    15.016368569	1331119697	r01B
    15.016368569	1063830880	r073
    15.016368569	1282	r075
    15.016368569	101123891	r004
    15.016368569	3568845	r016
    15.016368569	99385	r017
