Start:	1357366314681937325
Event 1 Label:	CPU cycles		RAW Identifier:	r0FF
Event 2 Label:	L1 Data Cache access		RAW Identifier:	r004
Event 3 Label:	L1 Instructions Cache access		RAW Identifier:	r014
Event 4 Label:	L2 Data Cache access		RAW Identifier:	r016
Event 5 Label:	Bus Access		RAW Identifier:	r019
     0.500242195	35743849	r0FF
     0.500242195	4654704	r004
     0.500242195	7132552	r014
     0.500242195	600391	r016
     0.500242195	279638	r019
     1.000763055	9199096	r0FF
     1.000763055	1290924	r004
     1.000763055	2002103	r014
     1.000763055	152079	r016
     1.000763055	27968	r019
     1.501180875	9552216	r0FF
     1.501180875	1342924	r004
     1.501180875	2086776	r014
     1.501180875	155956	r016
     1.501180875	27737	r019
     2.001591277	9554991	r0FF
     2.001591277	1312134	r004
     2.001591277	2032549	r014
     2.001591277	153278	r016
     2.001591277	24605	r019
     2.502002846	10044278	r0FF
     2.502002846	1351311	r004
     2.502002846	2094650	r014
     2.502002846	160324	r016
     2.502002846	29812	r019
     3.002416832	9721163	r0FF
     3.002416832	1317487	r004
     3.002416832	2049691	r014
     3.002416832	152124	r016
     3.002416832	24898	r019
     3.502824068	7322714	r0FF
     3.502824068	942850	r004
     3.502824068	1463408	r014
     3.502824068	119578	r016
     3.502824068	22922	r019
     4.003236262	9737654	r0FF
     4.003236262	1327010	r004
     4.003236262	2063233	r014
     4.003236262	154912	r016
     4.003236262	24896	r019
     4.503648831	9599549	r0FF
     4.503648831	1322959	r004
     4.503648831	2052041	r014
     4.503648831	155151	r016
     4.503648831	24356	r019
     5.004055775	10025483	r0FF
     5.004055775	1381294	r004
     5.004055775	2136549	r014
     5.004055775	163711	r016
     5.004055775	25940	r019
     5.504560261	18075105	r0FF
     5.504560261	2420841	r004
     5.504560261	3708670	r014
     5.504560261	283835	r016
     5.504560261	89001	r019
     6.004964997	9956731	r0FF
     6.004964997	1364369	r004
     6.004964997	2120189	r014
     6.004964997	156864	r016
     6.004964997	25571	r019
     6.505377816	14843812	r0FF
     6.505377816	1793682	r004
     6.505377816	2819684	r014
     6.505377816	245110	r016
     6.505377816	98364	r019
     7.005795219	10131163	r0FF
     7.005795219	1377575	r004
     7.005795219	2132975	r014
     7.005795219	161448	r016
     7.005795219	31426	r019
     7.506203454	10634654	r0FF
     7.506203454	1447697	r004
     7.506203454	2263216	r014
     7.506203454	169496	r016
     7.506203454	34057	r019
     8.006611065	9901495	r0FF
     8.006611065	1366914	r004
     8.006611065	2122820	r014
     8.006611065	157250	r016
     8.006611065	24924	r019
     8.507016343	7545593	r0FF
     8.507016343	992940	r004
