#Timestamp	CORE_ID	user%	nice%	sys%	idle%	iowait%	irq%	softiq%	steal%	guest%	guest_nice%
1357279260198697738	CORE_4	4.91	0	3.27	91.80	0	0	0	0	0	0
1357279261133237437	CORE_4	0	0	0	100.00	0	0	0	0	0	0
1357279262077785203	CORE_4	0	0	0	100.00	0	0	0	0	0	0
1357279263017759912	CORE_4	0	0	0	100.00	0	0	0	0	0	0
1357279263957822913	CORE_4	0	0	0	100.00	0	0	0	0	0	0
1357279264899380904	CORE_4	0	0	0	100.00	0	0	0	0	0	0
1357279265837782789	CORE_4	0	0	0	100.00	0	0	0	0	0	0
1357279266798749377	CORE_4	0	0	0	100.00	0	0	0	0	0	0
1357279267743794015	CORE_4	0	0	0	100.00	0	0	0	0	0	0
1357279268683864057	CORE_4	0	0	0	100.00	0	0	0	0	0	0
1357279269622829439	CORE_4	0	0	0	100.00	0	0	0	0	0	0
1357279270577776519	CORE_4	0	0	0	100.00	0	0	0	0	0	0
1357279271532798641	CORE_4	0	0	0	100.00	0	0	0	0	0	0
1357279272488164219	CORE_4	0	0	0	100.00	0	0	0	0	0	0
1357279273437797206	CORE_4	0	0	0	100.00	0	0	0	0	0	0
1357279274372761153	CORE_4	0	0	0	100.00	0	0	0	0	0	0
1357279275322802970	CORE_4	0	0	0	100.00	0	0	0	0	0	0
1357279276277808134	CORE_4	0	0	0	100.00	0	0	0	0	0	0
1357279277228299407	CORE_4	0	0	0	100.00	0	0	0	0	0	0
1357279278188284792	CORE_4	0	0	0	100.00	0	0	0	0	0	0
1357279279137825279	CORE_4	0	0	0	100.00	0	0	0	0	0	0
1357279280087966096	CORE_4	0	0	0	100.00	0	0	0	0	0	0
1357279281037824164	CORE_4	0	0	0	100.00	0	0	0	0	0	0
1357279281988127980	CORE_4	0	0	0	100.00	0	0	0	0	0	0
1357279282942812979	CORE_4	0	0	0	100.00	0	0	0	0	0	0
1357279283898766970	CORE_4	0	0	0	100.00	0	0	0	0	0	0
1357279284847841002	CORE_4	0	0	0	100.00	0	0	0	0	0	0
1357279285798838647	CORE_4	0	0	0	100.00	0	0	0	0	0	0
1357279286743853744	CORE_4	0	0	0	100.00	0	0	0	0	0	0
1357279287687961846	CORE_4	0	0	0	100.00	0	0	0	0	0	0
1357279288647820606	CORE_4	0	0	0	100.00	0	0	0	0	0	0
1357279289602833061	CORE_4	0	0	0	100.00	0	0	0	0	0	0
1357279290552876171	CORE_4	0	0	0	100.00	0	0	0	0	0	0
1357279291487986700	CORE_4	0	0	0	100.00	0	0	0	0	0	0
1357279292443080863	CORE_4	0	0	0	100.00	0	0	0	0	0	0
1357279293398887939	CORE_4	0	0	0	100.00	0	0	0	0	0	0
1357279294360200191	CORE_4	0	0	0	100.00	0	0	0	0	0	0
1357279295328025280	CORE_4	0	0	0	100.00	0	0	0	0	0	0
1357279296279710254	CORE_4	0	0	0	100.00	0	0	0	0	0	0
1357279297242976953	CORE_4	0	0	0	100.00	0	0	0	0	0	0
1357279298199871689	CORE_4	0	0	0	100.00	0	0	0	0	0	0
1357279299158048710	CORE_4	0	0	0	100.00	0	0	0	0	0	0
1357279300122381653	CORE_4	0	0	0	100.00	0	0	0	0	0	0
1357279301078037021	CORE_4	0	0	0	100.00	0	0	0	0	0	0
1357279302033820763	CORE_4	0	0	0	100.00	0	0	0	0	0	0
1357279302988011057	CORE_4	0	0	0	100.00	0	0	0	0	0	0
1357279303953187245	CORE_4	0	0	0	100.00	0	0	0	0	0	0
1357279304922286493	CORE_4	0	0	0	100.00	0	0	0	0	0	0
1357279305872999682	CORE_4	0	0	0	100.00	0	0	0	0	0	0
