#Timestamp	CPU cycles	Instructions architecturally executed	Exceptions taken	Predictable branch speculatively executed	Mispredicted or not predicted branch speculatively executed
1357754747357965078	58381533	19580549	791	2171157	481251
1357754747858502355	70498213	23486733	981	2604191	580008
1357754748359000257	60470181	20328392	809	2252118	497820
1357754748859494451	40105367	16269946	390	2155996	338022
1357754749359978520	63018440	21307654	888	2367344	524947
1357754749860475922	70735539	23646979	1000	2622232	589145
1357754750360974116	49232523	16652897	634	1850272	405016
1357754750861455185	90173175	30344041	1313	3370057	759880
1357754751362096086	65252939	22243674	881	2484167	549336
1357754751862593530	76171161	25296042	1056	2804540	630758
1357754752363080849	71042713	23741572	1024	2632718	597945
1357754752863596793	80134714	26652781	1147	2955316	667856
1357754753364129320	51648226	17299883	659	1917096	419446
1357754753864667639	60998742	20375183	863	2263392	510115
1357754754365212083	88953484	29912710	1308	3325246	751251
1357754754865717735	35424813	11781632	431	1301111	284865
1357754755366211595	46076826	15085644	620	1672428	373633
1357754755866699664	23538369	7867268	336	866812	200324
1357754756367247400	25616648	8636641	354	962959	221761
1357754756867735927	16251978	5534251	229	609153	140132
1357754757368220454	18000194	5999610	251	663480	151440
1357754757868758190	21316636	7213498	305	795886	183757
1357754758369264175	18228103	6091042	263	673753	155654
1357754758869752536	18752823	6276051	259	694481	158910
1357754759370240813	21543314	7235480	310	799837	184990
1357754759870725757	19591098	6635705	287	730254	168110
1357754760371208201	26724121	9007754	392	994438	228979
1357754760871688603	21783885	7344274	319	811385	188330
1357754761372285297	48772400	15849487	836	1777568	418628
1357754761872757741	18427881	6168219	281	680095	157772
1357754762373226810	18468624	6196289	266	684005	157358
1357754762873758670	20027277	6775413	289	744841	171527
1357754763374242072	20967341	7032702	292	780774	177127
1357754763874727641	20403567	6911974	304	762678	176556
1357754764375212960	22025446	7380852	307	814110	186492
1357754764875707112	18698102	6305592	274	697256	159467
1357754765376202098	18212794	5603712	234	616159	144475
1357754765876695417	10149002	3332986	147	366227	88628
1357754766377259694	13724748	4426240	186	491675	116651
1357754766877755096	10244924	3342953	145	367768	88963
1357754767378297540	9803795	3194433	138	350866	84788
1357754767878824609	9943293	3217450	143	354563	85312
1357754768379303553	7531046	2333041	98	259320	62309
1357754768879804246	11468657	3660653	149	403569	98326
1357754769380359273	10164244	3280563	141	359807	86926
1357754769880931425	10042563	3293135	142	362473	87738
1357754770381478619	10134569	3295406	144	361889	87767
1357754770882040229	12768098	4183931	180	461497	111549
1357754771382592548	9505603	3126554	141	343539	83563
1357754771883176325	9723743	3187302	142	350650	85450
1357754772383781852	9535083	3123068	138	342456	83235
1357754772884329212	10072731	3277875	143	361451	87162
1357754773384900906	7429527	2341247	100	260590	63506
1357754773885452808	16922601	5507718	247	607734	147443
1357754774386018627	9876416	3245466	140	358207	86203
1357754774886568070	10089476	3324115	140	365467	88455
1357754775387122097	9988368	3260211	139	357238	86427
1357754775887684333	13896953	4544049	202	501515	121125
1357754776388241026	10247985	3334253	139	365050	86750
1357754776888858762	10128277	3330129	143	366875	89023
1357754777389409205	68143577	18728815	211	2315215	323234
1357754777889975191	33715793	11359303	461	1258939	277744
1357754778390537384	49698972	16544444	688	1827838	404313
1357754778891090328	42414923	14481869	600	1601816	353447
1357754779391664438	28373561	9733360	393	1074536	234539
1357754779892217715	35030494	11967333	485	1320668	288031
1357754780392786992	36272883	12875925	345	1418794	265353
