#Timestamp	CPU_ID	user%	nice%	sys%	idle%	iowait%	irq%	softiq%	steal%	guest%	guest_nice%
1428507343247016170	CPU_4	88.70	0	8.06	1.61	0	1.61	0	0	0	0
1428507343936820569	CPU_4	98.55	0	0	0	0	0	1.44	0	0	0
1428507344640914326	CPU_4	98.57	0	0	0	0	1.42	0	0	0	0
1428507345339126047	CPU_4	100.00	0	0	0	0	0	0	0	0	0
1428507346032662149	CPU_4	98.55	0	0	0	0	1.44	0	0	0	0
1428507346733217075	CPU_4	98.57	0	0	0	0	0	1.42	0	0	0
1428507347428216675	CPU_4	98.59	0	0	0	0	1.40	0	0	0	0
1428507348139957504	CPU_4	100.00	0	0	0	0	0	0	0	0	0
1428507348843579592	CPU_4	97.18	0	0	0	0	1.40	1.40	0	0	0
1428507349538438482	CPU_4	100.00	0	0	0	0	0	0	0	0	0
1428507350232544998	CPU_4	98.55	0	0	0	0	1.44	0	0	0	0
1428507350936052210	CPU_4	100.00	0	0	0	0	0	0	0	0	0
1428507351633140179	CPU_4	97.18	0	0	0	0	1.40	1.40	0	0	0
1428507352338169306	CPU_4	100.00	0	0	0	0	0	0	0	0	0
1428507353037116522	CPU_4	98.57	0	0	0	0	1.42	0	0	0	0
1428507353731989702	CPU_4	100.00	0	0	0	0	0	0	0	0	0
1428507354439487282	CPU_4	97.18	0	0	0	0	1.40	1.40	0	0	0
1428507355134941419	CPU_4	98.57	0	0	0	0	1.42	0	0	0	0
1428507355832771927	CPU_4	100.00	0	0	0	0	0	0	0	0	0
1428507356538418342	CPU_4	97.22	0	0	0	0	1.38	1.38	0	0	0
1428507357231849479	CPU_4	100.00	0	0	0	0	0	0	0	0	0
1428507357927526905	CPU_4	98.57	0	0	0	0	1.42	0	0	0	0
1428507358634967400	CPU_4	100.00	0	0	0	0	0	0	0	0	0
1428507359330174243	CPU_4	97.18	0	0	0	0	1.40	1.40	0	0	0
1428507360044317396	CPU_4	100.00	0	0	0	0	0	0	0	0	0
1428507360741747360	CPU_4	98.57	0	0	0	0	1.42	0	0	0	0
1428507361436666493	CPU_4	100.00	0	0	0	0	0	0	0	0	0
1428507362142146114	CPU_4	97.22	0	0	0	0	1.38	1.38	0	0	0
1428507362840267826	CPU_4	100.00	0	0	0	0	0	0	0	0	0
1428507363536089499	CPU_4	98.57	0	0	0	0	1.42	0	0	0	0
1428507364241236369	CPU_4	98.57	0	0	0	0	0	1.42	0	0	0
1428507364937785290	CPU_4	98.57	0	0	0	0	1.42	0	0	0	0
1428507365635032960	CPU_4	100.00	0	0	0	0	0	0	0	0	0
1428507366345235156	CPU_4	98.61	0	0	0	0	1.38	0	0	0	0
1428507367039503954	CPU_4	98.55	0	0	0	0	0	1.44	0	0	0
1428507367751986646	CPU_4	98.61	0	0	0	0	1.38	0	0	0	0
1428507368450099647	CPU_4	98.55	0	0	0	0	1.44	0	0	0	0
1428507369146221358	CPU_4	98.57	0	0	0	0	0	1.42	0	0	0
1428507369854154722	CPU_4	98.59	0	0	0	0	1.40	0	0	0	0
1428507370552204971	CPU_4	100.00	0	0	0	0	0	0	0	0	0
1428507371248324765	CPU_4	98.57	0	0	0	0	1.42	0	0	0	0
1428507371955492545	CPU_4	98.59	0	0	0	0	0	1.40	0	0	0
1428507372652763461	CPU_4	98.57	0	0	0	0	1.42	0	0	0	0
1428507373348783545	CPU_4	100.00	0	0	0	0	0	0	0	0	0
1428507374056025782	CPU_4	98.59	0	0	0	0	1.40	0	0	0	0
1428507374753051906	CPU_4	98.57	0	0	0	0	0	1.42	0	0	0
1428507375458463769	CPU_4	98.57	0	0	0	0	1.42	0	0	0	0
1428507376155823767	CPU_4	100.00	0	0	0	0	0	0	0	0	0
1428507376857801217	CPU_4	97.22	0	0	0	0	1.38	1.38	0	0	0
1428507377562987246	CPU_4	100.00	0	0	0	0	0	0	0	0	0
1428507378261938449	CPU_4	98.55	0	0	0	0	1.44	0	0	0	0
1428507378961857275	CPU_4	100.00	0	0	0	0	0	0	0	0	0
1428507379667123762	CPU_4	97.18	0	0	0	0	1.40	1.40	0	0	0
1428507380364964965	CPU_4	98.57	0	0	0	0	1.42	0	0	0	0
1428507381069905159	CPU_4	100.00	0	0	0	0	0	0	0	0	0
1428507381769914484	CPU_4	97.22	0	0	0	0	1.38	1.38	0	0	0
1428507382468538727	CPU_4	100.00	0	0	0	0	0	0	0	0	0
1428507383180133995	CPU_4	98.59	0	0	0	0	1.40	0	0	0	0
1428507383882564774	CPU_4	100.00	0	0	0	0	0	0	0	0	0
1428507384586611634	CPU_4	97.18	0	0	0	0	1.40	1.40	0	0	0
1428507385294767197	CPU_4	100.00	0	0	0	0	0	0	0	0	0
1428507385991700774	CPU_4	98.55	0	0	0	0	1.44	0	0	0	0
1428507386690325556	CPU_4	98.57	0	0	0	0	0	1.42	0	0	0
1428507387401850447	CPU_4	98.61	0	0	0	0	1.38	0	0	0	0
1428507388098165565	CPU_4	100.00	0	0	0	0	0	0	0	0	0
1428507388807153792	CPU_4	98.59	0	0	0	0	1.40	0	0	0	0
1428507389507036613	CPU_4	98.57	0	0	0	0	0	1.42	0	0	0
1428507390202433897	CPU_4	98.57	0	0	0	0	1.42	0	0	0	0
1428507390912039955	CPU_4	100.00	0	0	0	0	0	0	0	0	0
1428507391611237234	CPU_4	97.18	0	0	0	0	1.40	1.40	0	0	0
1428507392307184308	CPU_4	98.55	0	0	0	0	1.44	0	0	0	0
1428507393015784284	CPU_4	100.00	0	0	0	0	0	0	0	0	0
1428507393719683431	CPU_4	98.59	0	0	0	0	1.40	0	0	0	0
1428507394433879065	CPU_4	98.59	0	0	0	0	0	1.40	0	0	0
1428507395132754176	CPU_4	98.59	0	0	0	0	1.40	0	0	0	0
1428507395834100616	CPU_4	100.00	0	0	0	0	0	0	0	0	0
1428507396543417047	CPU_4	98.61	0	0	0	0	1.38	0	0	0	0
1428507397245319070	CPU_4	98.57	0	0	0	0	0	1.42	0	0	0
1428507397949573131	CPU_4	98.57	0	0	0	0	1.42	0	0	0	0
1428507398657327396	CPU_4	100.00	0	0	0	0	0	0	0	0	0
1428507399357696711	CPU_4	97.18	0	0	0	0	1.40	1.40	0	0	0
1428507400064693184	CPU_4	100.00	0	0	0	0	0	0	0	0	0
1428507400766612247	CPU_4	98.59	0	0	0	0	1.40	0	0	0	0
1428507401468041434	CPU_4	100.00	0	0	0	0	0	0	0	0	0
1428507402178372153	CPU_4	97.22	0	0	0	0	1.38	1.38	0	0	0
1428507402877204009	CPU_4	100.00	0	0	0	0	0	0	0	0	0
1428507403575454950	CPU_4	98.55	0	0	0	0	1.44	0	0	0	0
1428507404286078000	CPU_4	97.22	0	0	0	0	1.38	1.38	0	0	0
1428507404984591023	CPU_4	100.00	0	0	0	0	0	0	0	0	0
1428507405684966168	CPU_4	98.57	0	0	0	0	1.42	0	0	0	0
1428507406395303509	CPU_4	100.00	0	0	0	0	0	0	0	0	0
1428507407093454489	CPU_4	97.18	0	0	0	0	1.40	1.40	0	0	0
1428507407802184206	CPU_4	100.00	0	0	0	0	0	0	0	0	0
1428507408505695263	CPU_4	98.59	0	0	0	0	1.40	0	0	0	0
1428507409203797117	CPU_4	98.57	0	0	0	0	0	1.42	0	0	0
1428507409914627748	CPU_4	98.59	0	0	0	0	1.40	0	0	0	0
1428507410615814222	CPU_4	100.00	0	0	0	0	0	0	0	0	0
1428507411314587825	CPU_4	98.59	0	0	0	0	1.40	0	0	0	0
1428507412025250246	CPU_4	98.59	0	0	0	0	0	1.40	0	0	0
1428507412726555303	CPU_4	98.57	0	0	0	0	1.42	0	0	0	0
1428507413436286016	CPU_4	100.00	0	0	0	0	0	0	0	0	0
1428507414135486158	CPU_4	98.59	0	0	0	0	1.40	0	0	0	0
1428507414836512756	CPU_4	97.14	0	0	0	0	1.42	1.42	0	0	0
1428507415545955718	CPU_4	100.00	0	0	0	0	0	0	0	0	0
1428507416247511273	CPU_4	98.59	0	0	0	0	1.40	0	0	0	0
1428507416948949745	CPU_4	98.57	0	0	0	0	0	1.42	0	0	0
1428507417657108457	CPU_4	98.59	0	0	0	0	1.40	0	0	0	0
1428507418361593174	CPU_4	100.00	0	0	0	0	0	0	0	0	0
1428507419073163340	CPU_4	98.61	0	0	0	0	1.38	0	0	0	0
1428507419771633606	CPU_4	98.55	0	0	0	0	0	1.44	0	0	0
1428507420473863366	CPU_4	98.59	0	0	0	0	1.40	0	0	0	0
1428507421183829241	CPU_4	100.00	0	0	0	0	0	0	0	0	0
1428507421883410796	CPU_4	97.18	0	0	0	0	1.40	1.40	0	0	0
1428507422582914391	CPU_4	100.00	0	0	0	0	0	0	0	0	0
1428507423294227139	CPU_4	98.59	0	0	0	0	1.40	0	0	0	0
1428507423993010985	CPU_4	100.00	0	0	0	0	0	0	0	0	0
1428507424702716734	CPU_4	97.22	0	0	0	0	1.38	1.38	0	0	0
1428507425404133201	CPU_4	100.00	0	0	0	0	0	0	0	0	0
1428507426102339255	CPU_4	98.55	0	0	0	0	1.44	0	0	0	0
1428507426812885002	CPU_4	97.22	0	0	0	0	1.38	1.38	0	0	0
1428507427514162551	CPU_4	100.00	0	0	0	0	0	0	0	0	0
1428507428212158438	CPU_4	98.55	0	0	0	0	1.44	0	0	0	0
1428507428924182348	CPU_4	100.00	0	0	0	0	0	0	0	0	0
