Start:	1357024506982028485
Event 1 Label:	CPU cycles		RAW Identifier:	r0FF
Event 2 Label:	Instructions architecturally executed		RAW Identifier:	r008
Event 3 Label:	Exceptions taken		RAW Identifier:	r009
Event 4 Label:	Predictable branch speculatively executed		RAW Identifier:	r012
Event 5 Label:	Mispredicted or not predicted branch speculatively executed		RAW Identifier:	r010
     0.500357345	49012842	r0FF
     0.500357345	43099728	r008
     0.500357345	246	r009
     0.500357345	6918865	r012
     0.500357345	227339	r010
     1.001512352	1511866	r0FF
     1.001512352	124980	r008
     1.001512352	19	r009
     1.001512352	27696	r012
     1.001512352	2831	r010
     1.502350986	158286	r0FF
     1.502350986	27489	r008
     1.502350986	1	r009
     1.502350986	5759	r012
     1.502350986	433	r010
     2.003157203	1157877	r0FF
     2.003157203	25777	r008
     2.003157203	1	r009
     2.003157203	5389	r012
     2.003157203	360	r010
     2.503950087	229985	r0FF
     2.503950087	27293	r008
     2.503950087	1	r009
     2.503950087	5689	r012
     2.503950087	390	r010
     3.004753888	1192730	r0FF
     3.004753888	60829	r008
     3.004753888	3	r009
     3.004753888	12188	r012
     3.004753888	1453	r010
     3.505559772	313450	r0FF
     3.505559772	22166	r008
     3.505559772	2	r009
     3.505559772	4531	r012
     3.505559772	374	r010
     4.006456614	963624	r0FF
     4.006456614	21418	r008
     4.006456614	2	r009
     4.006456614	4437	r012
     4.006456614	335	r010
     4.507274415	388020	r0FF
     4.507274415	21239	r008
     4.507274415	2	r009
     4.507274415	4427	r012
     4.507274415	308	r010
     5.008098132	893464	r0FF
     5.008098132	25154	r008
     5.008098132	1	r009
     5.008098132	5718	r012
     5.008098132	386	r010
     5.508922266	444948	r0FF
     5.508922266	25777	r008
     5.508922266	1	r009
     5.508922266	5395	r012
     5.508922266	364	r010
     6.009738025	902000	r0FF
     6.009738025	25777	r008
     6.009738025	1	r009
     6.009738025	5370	r012
     6.009738025	365	r010
     6.510718866	534446	r0FF
     6.510718866	25522	r008
     6.510718866	1	r009
     6.510718866	5302	r012
     6.510718866	350	r010
     7.011604333	955764	r0FF
     7.011604333	58038	r008
     7.011604333	3	r009
     7.011604333	11929	r012
     7.011604333	1379	r010
     7.512422259	648944	r0FF
     7.512422259	25780	r008
     7.512422259	1	r009
     7.512422259	5435	r012
     7.512422259	428	r010
     8.013227143	748038	r0FF
     8.013227143	25780	r008
     8.013227143	1	r009
     8.013227143	5440	r012
     8.013227143	402	r010
     8.514065401	705201	r0FF
     8.514065401	25780	r008
     8.514065401	1	r009
     8.514065401	5444	r012
     8.514065401	393	r010
     9.014882452	713620	r0FF
     9.014882452	25780	r008
     9.014882452	1	r009
     9.014882452	5389	r012
     9.014882452	375	r010
     9.515746711	780859	r0FF
     9.515746711	25777	r008
     9.515746711	1	r009
     9.515746711	5402	r012
     9.515746711	379	r010
    10.016657886	607787	r0FF
    10.016657886	25777	r008
    10.016657886	1	r009
    10.016657886	5374	r012
    10.016657886	389	r010
    10.517447853	839503	r0FF
    10.517447853	25522	r008
    10.517447853	1	r009
    10.517447853	5302	r012
    10.517447853	381	r010
    11.018254404	642633	r0FF
    11.018254404	67341	r008
    11.018254404	3	r009
    11.018254404	13736	r012
    11.018254404	1428	r010
    11.519088330	977930	r0FF
    11.519088330	25695	r008
    11.519088330	1	r009
    11.519088330	5382	r012
    11.519088330	421	r010
    12.019895339	429652	r0FF
    12.019895339	25780	r008
    12.019895339	1	r009
    12.019895339	5412	r012
    12.019895339	397	r010
    12.520769556	1027450	r0FF
    12.520769556	25780	r008
    12.520769556	1	r009
    12.520769556	5436	r012
    12.520769556	440	r010
    13.021692272	390725	r0FF
    13.021692272	25924	r008
    13.021692272	2	r009
    13.021692272	5404	r012
    13.021692272	467	r010
    13.522729072	1074838	r0FF
    13.522729072	25836	r008
    13.522729072	2	r009
    13.522729072	5403	r012
    13.522729072	442	r010
    14.023543081	340419	r0FF
    14.023543081	25757	r008
    14.023543081	2	r009
    14.023543081	5413	r012
    14.023543081	416	r010
    14.524397548	1158759	r0FF
    14.524397548	25516	r008
    14.524397548	1	r009
    14.524397548	5326	r012
    14.524397548	421	r010
    15.025067432	410666	r0FF
    15.025067432	67372	r008
    15.025067432	3	r009
    15.025067432	13761	r012
    15.025067432	1433	r010
    15.526621770	1278849	r0FF
    15.526621770	25762	r008
    15.526621770	1	r009
    15.526621770	5392	r012
    15.526621770	425	r010
    16.027324447	158429	r0FF
    16.027324447	25780	r008
    16.027324447	1	r009
    16.027324447	5436	r012
    16.027324447	430	r010
    16.528013748	1290495	r0FF
    16.528013748	25780	r008
    16.528013748	1	r009
    16.528013748	5445	r012
    16.528013748	377	r010
    17.028722591	149042	r0FF
    17.028722591	25839	r008
    17.028722591	2	r009
    17.028722591	5411	r012
    17.028722591	391	r010
    17.529429684	1270611	r0FF
    17.529429684	25777	r008
    17.529429684	1	r009
    17.529429684	5432	r012
    17.529429684	407	r010
    18.030141319	215416	r0FF
    18.030141319	25777	r008
    18.030141319	1	r009
    18.030141319	5436	r012
    18.030141319	390	r010
    18.531005744	1166283	r0FF
    18.531005744	25522	r008
    18.531005744	1	r009
    18.531005744	5627	r012
    18.531005744	533	r010
    19.031713962	477341	r0FF
    19.031713962	72265	r008
    19.031713962	3	r009
    19.031713962	14369	r012
    19.031713962	1429	r010
    19.532416430	1096442	r0FF
    19.532416430	25780	r008
    19.532416430	1	r009
    19.532416430	5388	r012
    19.532416430	387	r010
    20.033127898	402819	r0FF
    20.033127898	25780	r008
    20.033127898	1	r009
    20.033127898	5357	r012
    20.033127898	382	r010
    20.533992448	1026505	r0FF
    20.533992448	25780	r008
    20.533992448	1	r009
    20.533992448	5368	r012
    20.533992448	392	r010
    21.034720208	461274	r0FF
    21.034720208	25780	r008
    21.034720208	1	r009
    21.034720208	5349	r012
    21.034720208	333	r010
    21.535423967	951252	r0FF
    21.535423967	25836	r008
    21.535423967	2	r009
    21.535423967	5376	r012
    21.535423967	350	r010
    22.036231143	512568	r0FF
    22.036231143	25922	r008
    22.036231143	2	r009
    22.036231143	5380	r012
    22.036231143	350	r010
    22.536934778	892666	r0FF
    22.536934778	25436	r008
    22.536934778	1	r009
    22.536934778	5280	r012
    22.536934778	366	r010
    23.037647287	704222	r0FF
    23.037647287	67125	r008
    23.037647287	2	r009
    23.037647287	13759	r012
    23.037647287	1311	r010
    23.538339255	845756	r0FF
    23.538339255	25780	r008
    23.538339255	1	r009
    23.538339255	5400	r012
    23.538339255	442	r010
    24.039060015	665855	r0FF
    24.039060015	25780	r008
    24.039060015	1	r009
    24.039060015	5421	r012
    24.039060015	419	r010
    24.539758774	770187	r0FF
    24.539758774	25780	r008
    24.539758774	1	r009
    24.539758774	5404	r012
    24.539758774	389	r010
    25.040470576	716237	r0FF
    25.040470576	25780	r008
    25.040470576	1	r009
    25.040470576	5397	r012
    25.040470576	401	r010
    25.541547791	685689	r0FF
    25.541547791	25777	r008
    25.541547791	1	r009
    25.541547791	5439	r012
    25.541547791	378	r010
    26.042265718	753797	r0FF
    26.042265718	25777	r008
    26.042265718	1	r009
    26.042265718	5373	r012
    26.042265718	361	r010
    26.542968769	627507	r0FF
    26.542968769	25522	r008
