#Benchmark runtime CPU Frequency(MHz)
consumer_tiff2rgba	127.5539045800	1100000
consumer_tiffdither	52.7514700960	1100000
consumer_tiffmedian	56.8273238090	1100000
office_ispell	78.9457654580	1100000
office_stringsearch1	19.4584129730	1100000
security_pgp_e	55.2486371050	1100000
security_rijndael_d	310.3899404790	1100000
security_sha	66.4157536820	1100000
telecom_adpcm_d	37.0400158010	1100000
telecom_CRC32	123.8888085060	1100000
telecom_gsm	40.2647167200	1100000
automotive_susan_c	62.7245619180	1100000
automotive_susan_s	42.3275637700	1100000
bzip2d	56.5157326500	1100000
consumer_jpeg_c	47.1264919030	1100000
consumer_tiff2rgba	128.4057130790	1100000
consumer_tiffdither	53.6702546090	1100000
consumer_tiffmedian	56.7857844050	1100000
office_ispell	79.0567496610	1100000
office_stringsearch1	19.3055002400	1100000
security_pgp_e	54.7429557680	1100000
security_rijndael_d	310.9177924730	1100000
security_sha	66.5905878210	1100000
telecom_adpcm_d	36.8830814120	1100000
telecom_CRC32	123.7874778220	1100000
telecom_gsm	40.3135109420	1100000
automotive_susan_c	62.5693668160	1100000
automotive_susan_s	41.9796939450	1100000
bzip2d	56.8736786190	1100000
consumer_jpeg_c	46.6065428080	1100000
consumer_tiff2rgba	125.1622686200	1100000
consumer_tiffdither	52.6752100210	1100000
consumer_tiffmedian	56.9911414320	1100000
office_ispell	78.9819244990	1100000
office_stringsearch1	19.2949913890	1100000
security_pgp_e	54.8139507710	1100000
security_rijndael_d	307.4730352270	1100000
security_sha	66.8645167330	1100000
telecom_adpcm_d	37.0233075480	1100000
telecom_CRC32	123.9493060750	1100000
telecom_gsm	40.0053209420	1100000
automotive_susan_c	68.2854915910	1000000
automotive_susan_s	46.6252986390	1000000
bzip2d	60.7261948450	1000000
consumer_jpeg_c	50.3492395360	1000000
consumer_tiff2rgba	133.4157395610	1000000
consumer_tiffdither	57.2591613580	1000000
consumer_tiffmedian	61.3506669510	1000000
office_ispell	85.1776683800	1000000
office_stringsearch1	21.7025194800	1000000
security_pgp_e	59.8085310810	1000000
security_rijndael_d	328.9089673190	1000000
security_sha	73.2757604100	1000000
telecom_adpcm_d	40.5813241600	1000000
telecom_CRC32	133.5105102610	1000000
telecom_gsm	44.4028675400	1000000
automotive_susan_c	67.2264509840	1000000
automotive_susan_s	46.6532034080	1000000
bzip2d	59.4413857570	1000000
consumer_jpeg_c	50.8371352060	1000000
consumer_tiff2rgba	133.1178307880	1000000
consumer_tiffdither	58.4321822030	1000000
consumer_tiffmedian	61.6125417240	1000000
office_ispell	84.5257612120	1000000
office_stringsearch1	21.3364820710	1000000
security_pgp_e	59.9496555890	1000000
