Start:	1428583204688156811
Event1 Name:	r0FF
Event2 Name:	r01B
Event3 Name:	r073
Event4 Name:	r075
Event5 Name:	r004
Event6 Name:	r016
Event7 Name:	r017
     0.500317648	26375621	r0FF
     0.500317648	23995753	r01B
     0.500317648	12207276	r073
     0.500317648	438	r075
     0.500317648	6967943	r004
     0.500317648	842900	r016
     0.500317648	162440	r017
     1.001250627	2118906	r0FF
     1.001250627	385486	r01B
     1.001250627	217145	r073
     1.001250627	0	r075
     1.001250627	123067	r004
     1.001250627	12230	r016
     1.001250627	828	r017
     1.502041816	2273664	r0FF
     1.502041816	455150	r01B
     1.502041816	254303	r073
     1.502041816	0	r075
     1.502041816	146197	r004
     1.502041816	14756	r016
     1.502041816	1070	r017
     2.002994712	1369740	r0FF
     2.002994712	375957	r01B
     2.002994712	213682	r073
     2.002994712	0	r075
     2.002994712	118811	r004
     2.002994712	10088	r016
     2.002994712	704	r017
     2.503917692	1504261	r0FF
     2.503917692	398318	r01B
     2.503917692	223132	r073
     2.503917692	0	r075
     2.503917692	127462	r004
     2.503917692	11542	r016
     2.503917692	866	r017
     3.004695047	2155983	r0FF
     3.004695047	425121	r01B
     3.004695047	238448	r073
     3.004695047	0	r075
     3.004695047	136560	r004
     3.004695047	14194	r016
     3.004695047	879	r017
     3.505459360	2017164	r0FF
     3.505459360	378265	r01B
     3.505459360	213129	r073
     3.505459360	0	r075
     3.505459360	121540	r004
     3.505459360	10854	r016
     3.505459360	744	r017
     4.006282048	748413	r0FF
     4.006282048	323385	r01B
     4.006282048	182274	r073
     4.006282048	0	r075
     4.006282048	104482	r004
     4.006282048	8883	r016
     4.006282048	625	r017
     4.507086819	2072126	r0FF
     4.507086819	430863	r01B
     4.507086819	243125	r073
     4.507086819	0	r075
     4.507086819	136779	r004
     4.507086819	13270	r016
     4.507086819	746	r017
     5.007845924	2006893	r0FF
     5.007845924	383983	r01B
     5.007845924	215156	r073
     5.007845924	0	r075
     5.007845924	124675	r004
     5.007845924	12106	r016
     5.007845924	756	r017
     5.508692196	1655737	r0FF
     5.508692196	426771	r01B
     5.508692196	239232	r073
     5.508692196	0	r075
     5.508692196	136871	r004
     5.508692196	13102	r016
     5.508692196	674	r017
     6.009515800	930784	r0FF
     6.009515800	245708	r01B
     6.009515800	139659	r073
     6.009515800	0	r075
     6.009515800	78500	r004
     6.009515800	5776	r016
     6.009515800	555	r017
     6.510337197	2334896	r0FF
     6.510337197	556419	r01B
     6.510337197	311814	r073
     6.510337197	0	r075
     6.510337197	177807	r004
     6.510337197	17982	r016
     6.510337197	952	r017
     7.011153885	1844105	r0FF
     7.011153885	319714	r01B
     7.011153885	180038	r073
     7.011153885	0	r075
     7.011153885	102969	r004
     7.011153885	9480	r016
     7.011153885	625	r017
     7.512960280	1353999	r0FF
     7.512960280	494212	r01B
     7.512960280	276998	r073
     7.512960280	0	r075
     7.512960280	158867	r004
     7.512960280	15548	r016
     7.512960280	848	r017
     8.013894385	1379669	r0FF
     8.013894385	240853	r01B
     8.013894385	136957	r073
     8.013894385	0	r075
     8.013894385	76971	r004
     8.013894385	6015	r016
     8.013894385	522	r017
     8.514717989	2203894	r0FF
     8.514717989	480672	r01B
     8.514717989	268651	r073
     8.514717989	0	r075
     8.514717989	156065	r004
     8.514717989	16544	r016
     8.514717989	892	r017
     9.015546261	1691942	r0FF
     9.015546261	344210	r01B
     9.015546261	194569	r073
     9.015546261	0	r075
     9.015546261	111286	r004
     9.015546261	10378	r016
     9.015546261	626	r017
     9.516368115	1139793	r0FF
     9.516368115	449998	r01B
     9.516368115	252461	r073
     9.516368115	0	r075
     9.516368115	143077	r004
     9.516368115	13155	r016
     9.516368115	702	r017
    10.017162470	1853175	r0FF
    10.017162470	327707	r01B
    10.017162470	186742	r073
    10.017162470	0	r075
    10.017162470	103112	r004
    10.017162470	9810	r016
    10.017162470	654	r017
    10.518019283	2147723	r0FF
    10.518019283	472932	r01B
    10.518019283	264824	r073
    10.518019283	0	r075
    10.518019283	151981	r004
    10.518019283	15634	r016
    10.518019283	908	r017
    11.019958386	1273797	r0FF
    11.019958386	387169	r01B
    11.019958386	218089	r073
    11.019958386	0	r075
    11.019958386	124849	r004
    11.019958386	11662	r016
    11.019958386	791	r017
    11.520793615	1562838	r0FF
    11.520793615	409245	r01B
    11.520793615	228727	r073
    11.520793615	0	r075
    11.520793615	131130	r004
    11.520793615	11837	r016
    11.520793615	694	r017
    12.021609720	1797603	r0FF
    12.021609720	313217	r01B
    12.021609720	176821	r073
    12.021609720	0	r075
    12.021609720	102509	r004
    12.021609720	9756	r016
    12.021609720	649	r017
    12.522482783	1856371	r0FF
    12.522482783	388968	r01B
    12.522482783	218316	r073
    12.522482783	0	r075
    12.522482783	123497	r004
    12.522482783	11234	r016
    12.522482783	694	r017
    13.023324137	980184	r0FF
    13.023324137	423396	r01B
    13.023324137	239619	r073
    13.023324137	0	r075
    13.023324137	134790	r004
    13.023324137	12196	r016
    13.023324137	733	r017
    13.524192700	1949859	r0FF
    13.524192700	397100	r01B
    13.524192700	221920	r073
    13.524192700	0	r075
    13.524192700	129603	r004
    13.524192700	11927	r016
    13.524192700	706	r017
    14.025040513	1904374	r0FF
    14.025040513	372487	r01B
    14.025040513	211744	r073
    14.025040513	0	r075
    14.025040513	117510	r004
    14.025040513	11108	r016
    14.025040513	794	r017
    14.525901826	1479635	r0FF
    14.525901826	436549	r01B
    14.525901826	244456	r073
    14.525901826	0	r075
    14.525901826	140086	r004
    14.525901826	13111	r016
    14.525901826	737	r017
    15.026738138	1479789	r0FF
    15.026738138	426097	r01B
    15.026738138	240755	r073
    15.026738138	0	r075
    15.026738138	135700	r004
    15.026738138	13286	r016
    15.026738138	832	r017
    15.527561409	1928239	r0FF
    15.527561409	376111	r01B
    15.527561409	210443	r073
    15.527561409	0	r075
    15.527561409	121503	r004
    15.527561409	12571	r016
    15.527561409	740	r017
    16.028396306	1880279	r0FF
    16.028396306	360089	r01B
    16.028396306	204164	r073
    16.028396306	0	r075
    16.028396306	116063	r004
    16.028396306	10260	r016
    16.028396306	715	r017
    16.531867115	876595	r0FF
    16.531867115	388217	r01B
    16.531867115	217404	r073
    16.531867115	0	r075
    16.531867115	125108	r004
    16.531867115	11023	r016
    16.531867115	756	r017
    17.032707886	1976195	r0FF
    17.032707886	418646	r01B
    17.032707886	236784	r073
    17.032707886	0	r075
    17.032707886	134099	r004
    17.032707886	13109	r016
    17.032707886	829	r017
    17.533554157	1935221	r0FF
    17.533554157	390650	r01B
    17.533554157	218412	r073
    17.533554157	0	r075
    17.533554157	126535	r004
    17.533554157	11506	r016
    17.533554157	727	r017
    18.034374095	1395238	r0FF
    18.034374095	340797	r01B
    18.034374095	194228	r073
    18.034374095	0	r075
    18.034374095	108281	r004
    18.034374095	9630	r016
    18.034374095	694	r017
    18.535207366	1378402	r0FF
    18.535207366	437065	r01B
    18.535207366	244769	r073
    18.535207366	0	r075
    18.535207366	140317	r004
    18.535207366	12892	r016
    18.535207366	769	r017
    19.036026595	2021709	r0FF
    19.036026595	425528	r01B
    19.036026595	241207	r073
    19.036026595	0	r075
    19.036026595	135231	r004
    19.036026595	13547	r016
    19.036026595	855	r017
    19.536844741	1899793	r0FF
    19.536844741	377518	r01B
    19.536844741	211545	r073
    19.536844741	0	r075
    19.536844741	121984	r004
    19.536844741	11112	r016
    19.536844741	714	r017
    20.037714512	1335779	r0FF
    20.037714512	546350	r01B
    20.037714512	302139	r073
    20.037714512	0	r075
    20.037714512	166209	r004
    20.037714512	18909	r016
    20.037714512	3388	r017
    20.538594408	1755107	r0FF
    20.538594408	347526	r01B
    20.538594408	200008	r073
    20.538594408	0	r075
    20.538594408	111422	r004
    20.538594408	10021	r016
    20.538594408	681	r017
    21.039427345	2094510	r0FF
    21.039427345	464827	r01B
    21.039427345	261814	r073
    21.039427345	0	r075
    21.039427345	148745	r004
    21.039427345	14684	r016
    21.039427345	901	r017
    21.540361158	1411400	r0FF
    21.540361158	349401	r01B
    21.540361158	192229	r073
    21.540361158	0	r075
    21.540361158	109617	r004
    21.540361158	9503	r016
    21.540361158	598	r017
    22.041197512	1291513	r0FF
    22.041197512	401891	r01B
    22.041197512	227262	r073
    22.041197512	0	r075
    22.041197512	130212	r004
    22.041197512	11634	r016
    22.041197512	813	r017
    22.542019700	2602104	r0FF
    22.542019700	677528	r01B
    22.542019700	365542	r073
    22.542019700	34	r075
    22.542019700	211408	r004
    22.542019700	31216	r016
    22.542019700	3380	r017
    23.042829720	2089071	r0FF
    23.042829720	464309	r01B
    23.042829720	261976	r073
    23.042829720	0	r075
    23.042829720	147591	r004
    23.042829720	14943	r016
    23.042829720	945	r017
    23.543760949	892847	r0FF
    23.543760949	342966	r01B
    23.543760949	192141	r073
    23.543760949	0	r075
    23.543760949	110604	r004
    23.543760949	9572	r016
    23.543760949	690	r017
    24.044606470	1780010	r0FF
    24.044606470	380675	r01B
    24.044606470	218498	r073
    24.044606470	0	r075
    24.044606470	124966	r004
    24.044606470	12429	r016
    24.044606470	746	r017
    24.545412824	1901054	r0FF
    24.545412824	376170	r01B
    24.545412824	207812	r073
    24.545412824	0	r075
    24.545412824	119412	r004
    24.545412824	11823	r016
    24.545412824	731	r017
    25.046223470	1511171	r0FF
    25.046223470	449353	r01B
    25.046223470	252297	r073
    25.046223470	0	r075
    25.046223470	144065	r004
    25.046223470	13518	r016
    25.046223470	799	r017
    25.547101449	1274461	r0FF
    25.547101449	338424	r01B
    25.547101449	189767	r073
    25.547101449	0	r075
    25.547101449	109184	r004
    25.547101449	9695	r016
    25.547101449	589	r017
    26.047919387	1962688	r0FF
    26.047919387	400630	r01B
    26.047919387	225751	r073
    26.047919387	0	r075
    26.047919387	130218	r004
    26.047919387	13056	r016
    26.047919387	901	r017
    26.548837074	1939323	r0FF
    26.548837074	401666	r01B
    26.548837074	224486	r073
    26.548837074	0	r075
    26.548837074	127696	r004
    26.548837074	11781	r016
    26.548837074	748	r017
    27.051900175	1006623	r0FF
    27.051900175	447359	r01B
    27.051900175	251800	r073
    27.051900175	0	r075
    27.051900175	145142	r004
    27.051900175	13160	r016
    27.051900175	783	r017
    27.552727529	1769292	r0FF
    27.552727529	340664	r01B
    27.552727529	191529	r073
    27.552727529	0	r075
    27.552727529	108199	r004
    27.552727529	10349	r016
    27.552727529	590	r017
    28.053625467	1852949	r0FF
    28.053625467	368325	r01B
    28.053625467	208775	r073
    28.053625467	0	r075
    28.053625467	120221	r004
    28.053625467	11243	r016
    28.053625467	765	r017
    28.554462071	1516581	r0FF
    28.554462071	396809	r01B
    28.554462071	222743	r073
    28.554462071	0	r075
    28.554462071	124960	r004
    28.554462071	10943	r016
    28.554462071	695	r017
    29.055313133	1295442	r0FF
    29.055313133	425484	r01B
    29.055313133	237934	r073
    29.055313133	0	r075
    29.055313133	137703	r004
    29.055313133	12480	r016
    29.055313133	727	r017
    29.556151779	1984221	r0FF
    29.556151779	413562	r01B
    29.556151779	233717	r073
    29.556151779	0	r075
    29.556151779	131331	r004
    29.556151779	13724	r016
    29.556151779	733	r017
    30.057009882	1763977	r0FF
    30.057009882	309422	r01B
    30.057009882	178269	r073
    30.057009882	0	r075
    30.057009882	102012	r004
    30.057009882	9508	r016
    30.057009882	661	r017
    30.557928153	1199368	r0FF
    30.557928153	467951	r01B
    30.557928153	258893	r073
    30.557928153	0	r075
    30.557928153	148823	r004
    30.557928153	13784	r016
    30.557928153	819	r017
    31.058883423	1690520	r0FF
    31.058883423	379245	r01B
    31.058883423	213605	r073
    31.058883423	0	r075
    31.058883423	122956	r004
    31.058883423	11445	r016
    31.058883423	650	r017
    31.559759402	2022731	r0FF
    31.559759402	438423	r01B
    31.559759402	245859	r073
    31.559759402	0	r075
    31.559759402	140641	r004
    31.559759402	14454	r016
    31.559759402	854	r017
    32.061304089	1489550	r0FF
    32.061304089	305736	r01B
    32.061304089	172285	r073
    32.061304089	0	r075
    32.061304089	100143	r004
    32.061304089	9047	r016
    32.061304089	661	r017
    32.562142817	1201577	r0FF
    32.562142817	434777	r01B
    32.562142817	244274	r073
    32.562142817	0	r075
    32.562142817	139608	r004
    32.562142817	12929	r016
    32.562142817	665	r017
    33.062971130	1866189	r0FF
    33.062971130	359909	r01B
    33.062971130	201495	r073
    33.062971130	0	r075
    33.062971130	115618	r004
    33.062971130	11672	r016
    33.062971130	750	r017
    33.563973733	2363968	r0FF
    33.563973733	672077	r01B
    33.563973733	371501	r073
    33.563973733	0	r075
    33.563973733	225650	r004
    33.563973733	18152	r016
    33.563973733	916	r017
    34.064948295	740503	r0FF
    34.064948295	246043	r01B
    34.064948295	139745	r073
    34.064948295	0	r075
    34.064948295	78872	r004
    34.064948295	6141	r016
    34.064948295	568	r017
    34.565916524	2002983	r0FF
    34.565916524	530811	r01B
    34.565916524	298937	r073
    34.565916524	0	r075
    34.565916524	169654	r004
    34.565916524	16995	r016
    34.565916524	823	r017
    35.066891419	1789686	r0FF
    35.066891419	325975	r01B
    35.066891419	183416	r073
    35.066891419	0	r075
    35.066891419	105746	r004
    35.066891419	9482	r016
    35.066891419	642	r017
    35.567930398	1866778	r0FF
    35.567930398	499811	r01B
    35.567930398	280340	r073
    35.567930398	0	r075
    35.567930398	161675	r004
    35.567930398	15823	r016
    35.567930398	775	r017
    36.069005335	817114	r0FF
    36.069005335	243736	r01B
    36.069005335	138693	r073
    36.069005335	0	r075
    36.069005335	79103	r004
    36.069005335	6022	r016
    36.069005335	544	r017
    36.569943813	2204875	r0FF
    36.569943813	510357	r01B
    36.569943813	285828	r073
    36.569943813	0	r075
    36.569943813	166529	r004
    36.569943813	17951	r016
    36.569943813	935	r017
    37.070967542	1747846	r0FF
    37.070967542	307559	r01B
    37.070967542	176795	r073
    37.070967542	0	r075
    37.070967542	101651	r004
    37.070967542	9389	r016
    37.070967542	604	r017
    37.571948312	1366137	r0FF
    37.571948312	495475	r01B
    37.571948312	273603	r073
    37.571948312	0	r075
    37.571948312	159698	r004
    37.571948312	15540	r016
    37.571948312	1025	r017
    38.073040082	1434784	r0FF
    38.073040082	284309	r01B
    38.073040082	162165	r073
    38.073040082	0	r075
    38.073040082	90677	r004
    38.073040082	8569	r016
    38.073040082	598	r017
    38.574033477	2204299	r0FF
    38.574033477	517781	r01B
    38.574033477	288379	r073
    38.574033477	0	r075
    38.574033477	169580	r004
    38.574033477	17326	r016
    38.574033477	924	r017
    39.075349372	1636667	r0FF
    39.075349372	346225	r01B
    39.075349372	195706	r073
    39.075349372	0	r075
    39.075349372	110083	r004
    39.075349372	10381	r016
    39.075349372	694	r017
    39.576312642	1257683	r0FF
    39.576312642	496596	r01B
    39.576312642	278613	r073
    39.576312642	0	r075
    39.576312642	160081	r004
    39.576312642	15514	r016
    39.576312642	720	r017
    40.077249704	1599734	r0FF
    40.077249704	243065	r01B
    40.077249704	137987	r073
    40.077249704	0	r075
    40.077249704	78621	r004
    40.077249704	6755	r016
    40.077249704	513	r017
    40.578181016	2201086	r0FF
    40.578181016	525091	r01B
    40.578181016	294023	r073
    40.578181016	0	r075
    40.578181016	169186	r004
    40.578181016	16938	r016
    40.578181016	926	r017
    41.079221827	1104051	r0FF
    41.079221827	324403	r01B
    41.079221827	182764	r073
    41.079221827	0	r075
    41.079221827	105092	r004
    41.079221827	9694	r016
    41.079221827	714	r017
    41.580192764	1740904	r0FF
    41.580192764	495372	r01B
    41.580192764	277684	r073
    41.580192764	0	r075
    41.580192764	160313	r004
