#Timestamp	CPU cycles	Instructions architecturally executed	Exceptions taken	Predictable branch speculatively executed	Mispredicted or not predicted branch speculatively executed
1357645882883335306	948217	68310	5	11245	873
1357645883384114290	214178	42490	5	9790	664
1357645883884715984	188302	40183	5	7706	540
1357645884385336469	160929	34024	5	7724	579
1357645884886008912	175170	33791	5	6838	486
1357645885386626689	159983	33446	5	7410	570
1357645885887235882	343780	76166	6	15976	1560
1357645886387849868	175068	35905	5	7157	574
1357645886888454311	187713	39249	5	8589	544
1357645887389111130	122769	32986	5	7595	662
1357645887889924406	197119	42444	5	8318	504
1357645888390577641	158961	33167	5	9061	732
1357645888891215167	205885	45353	5	7280	591
1357645889391851194	187434	39562	5	8492	567
1357645889892489429	358154	78542	6	16378	1574
1357645890393127706	184231	37632	5	8353	563
1357645890893769858	157297	33716	5	7370	549
1357645891394404718	171123	33425	5	6700	487
1357645891895043828	156197	32282	5	7244	515
1357645892395684521	170960	34296	5	6971	502
1357645892896482798	158677	33161	5	7632	561
1357645893397120533	172454	34684	5	6726	475
1357645893897762684	357860	76400	6	16127	1568
1357645894398405419	185081	40624	5	8652	626
1357645894899045113	183914	43107	5	8827	635
1357645895399682473	185526	38897	5	8502	558
1357645895900319333	158886	33146	5	7657	579
1357645896401010568	173391	35135	5	6811	471
1357645896901737344	158110	33172	5	7454	571
1357645897402370496	171562	34039	5	6792	466
1357645897904367477	359056	78612	6	16253	1585
1357645898405001753	185821	38109	5	8370	557
1357645898905641197	158120	32294	5	7122	542
1357645899406285765	171485	33343	5	6800	520
1357645899906917750	204004	40573	5	8782	649
1357645900407646485	185528	42328	5	8834	518
1357645900908370637	158036	33165	5	7441	565
1357645901409102788	172782	34030	5	6924	541
1357645901909836023	400695	92085	6	19968	1687
1357645902410590841	175349	34283	5	8625	627
1357645902913071070	194688	41626	5	7437	605
1357645903413799888	186461	40581	5	8563	543
1357645903914532206	159404	33172	5	7720	582
1357645904415273232	173021	37664	5	8195	549
1357645904916032884	185780	39039	5	7606	518
1357645905416768618	158225	32955	5	7413	535
1357645905917505978	364783	82004	6	17311	1610
1357645906418229630	174620	34224	5	6793	478
1357645906918958323	472809	33196	5	7284	552
1357645907419760016	279956	35861	5	8013	566
1357645907920718166	285600	41462	5	7891	622
1357645908421515234	292192	39914	5	8795	615
1357645908922300260	286236	43918	5	9096	600
1357645909423119745	289892	41007	5	9580	611
1357645909923924729	520266	91763	6	19062	1679
1357645910424740922	274229	33414	5	6699	553
1357645910925603448	292308	43098	5	9840	653
1357645911426381141	291983	40597	5	8651	604
1357645911927141292	293548	39875	5	7892	614
1357645912427902235	287865	41766	5	8744	535
1357645912929918299	266067	32970	5	7475	584
1357645913430660784	274253	43404	5	8924	688
1357645913931336894	517494	87854	6	18728	1715
1357645914432031587	278782	33399	5	6753	589
1357645914932670656	285107	42218	5	9449	629
1357645915433394974	273470	37185	5	7381	462
1357645915934238958	233711	33189	5	7331	561
1357645916435028693	277644	35853	5	8075	585
1357645916935886219	286298	41514	5	8800	615
1357645917436666703	289453	41000	5	8731	608
1357645917937616354	478481	86747	6	17968	1622
1357645918438413755	275394	35889	5	6930	566
1357645918939215781	293411	40550	5	9592	633
1357645919440001516	285782	40574	5	8701	607
1357645919940851500	293079	40083	5	7855	624
1357645920441657110	286894	43727	5	9996	641
1357645920942467386	290290	41504	5	8794	612
1357645921443310204	285923	40967	5	8706	627
1357645921944146105	501809	91001	6	18583	1701
1357645922444983423	275424	34443	5	7724	551
1357645922947167944	283506	39716	5	8513	606
1357645923448010053	289257	39692	5	8515	579
1357645923948817663	283268	41484	5	9061	640
1357645924449611314	288410	41452	5	7838	607
1357645924950409132	285585	41449	5	9734	631
1357645925451556740	287068	40961	5	8702	600
1357645925952387058	510054	89063	6	18251	1692
1357645926453180959	271367	35010	5	7706	569
1357645926953995736	289597	39721	5	8530	610
1357645927454866262	285300	39725	5	8504	611
1357645927957498532	291237	38980	5	7860	633
1357645928458176892	285506	43996	5	10030	633
1357645928958894293	289712	41517	5	8806	631
1357645929459588361	285814	41019	5	8746	603
1357645929960287596	511834	91481	6	18737	1747
1357645930461444871	278812	34985	5	7767	571
1357645930962229439	283081	39695	5	8507	595
1357645931463017549	288860	37212	5	7521	547
1357645931963799033	284717	43928	5	9990	673
1357645932464583185	290557	38985	5	7657	606
1357645932965556585	285741	44014	5	9977	655
1357645933466356695	291782	41987	5	9098	630
1357645933967179054	476892	85740	6	17666	1570
1357645934467955414	271795	32483	5	6668	519
1357645934968735315	289417	39949	5	8530	584
1357645935469540591	282193	41969	5	9540	615
1357645935970343826	288714	38920	5	7875	630
1357645936471206935	284412	44032	5	10028	627
1357645936971994045	288595	41507	5	8778	612
1357645937472798737	285359	41013	5	8735	604
1357645937973724055	492133	89069	6	18231	1653
1357645938474520373	775573	35819	5	7861	584
1357645938975298649	1130535	40560	5	8643	614
1357645939476193383	1094721	40531	5	8660	598
1357645939976997659	1089355	41499	5	9032	627
1357645940477805561	1137096	41482	5	8827	602
1357645940978580337	1090952	41482	5	8810	614
1357645941479387821	1101116	41019	5	8740	624
1357645941980137098	1345499	90599	6	18336	1720
1357645942480987624	1085946	35840	5	7250	586
1357645942981774650	1100881	40593	5	9420	650
1357645943482528218	1094450	40577	5	7880	597
1357645943983258995	1090173	41496	5	9851	657
1357645944483996646	1134315	41529	5	7909	610
1357645944984707673	1087466	41510	5	9772	642
1357645945485459574	1099036	40961	5	8743	618
1357645945986246517	1306536	85728	6	17659	1596
1357645946486965210	1078838	35865	5	7869	575
1357645946987695153	1100082	40572	5	8662	607
1357645947488440596	1116152	40561	5	8675	599
1357645947990659909	1093171	41497	5	9007	614
1357645948491396811	1130839	41495	5	8804	597
1357645948992129337	1088372	41429	5	8805	598
1357645949492888488	1083192	40973	5	8738	582
1357645949993634306	1335793	85754	6	17596	1573
1357645950494354708	1076776	36752	5	8096	620
1357645950995079068	1103557	41493	5	8855	624
1357645951495816427	1116936	41472	5	8887	620
1357645951996535579	1092755	41453	5	9020	640
1357645952497275355	1105563	41515	5	8877	585
1357645952997994840	1017279	41526	5	8826	626
1357645953498750616	1017008	40991	5	7858	608
1357645953999417435	1236126	85756	6	18567	1602
1357645954500160420	1005595	36714	5	8064	598
1357645955001028070	1065094	41439	5	8884	620
1357645955501732722	1027520	41428	5	8851	613
1357645956002453165	1065944	41467	5	9042	631
1357645956503199025	1019199	41479	5	8867	620
1357645957003949218	1036089	41515	5	8822	597
1357645957504713453	1055021	40970	5	8738	616
1357645958005669187	1230962	97226	6	23802	1657
1357645958506396171	1062183	38455	5	8368	623
1357645959007108615	1036054	43178	5	8107	652
1357645959507827224	1070590	43155	5	10303	663
1357645960008525459	1027419	42362	5	8898	629
1357645960509254444	1054510	41449	5	8896	622
1357645961009994262	1035247	41457	5	8765	644
1357645961510743997	1033911	41004	5	7805	602
1357645962011420482	1290215	88518	6	19559	1724
1357645962512153175	1019963	38523	5	8429	613
1357645963013057659	1077092	43240	5	9243	676
1357645963513799560	1033408	43191	5	9207	674
1357645964014502754	1074524	42363	5	7889	588
1357645964515222613	1027078	41523	5	9820	608
1357645965016048765	1049870	41529	5	8808	600
1357645965516766041	1042415	41019	5	8751	600
1357645966017466901	1244318	90480	6	18860	1780
1357645966518170511	1057740	38490	5	7352	614
1357645967018848121	1034085	43243	5	10318	667
1357645967519520606	1072818	43141	5	8026	628
1357645968020333298	1027559	41440	5	9833	630
1357645968521075325	1065013	41514	5	8880	624
1357645969021773601	1014680	38990	5	7701	593
1357645969522547378	1008654	43476	5	9834	603
1357645970023196988	1282788	109903	6	28711	1743
1357645970523931056	1014420	38540	5	8385	633
1357645971024788374	1074723	43242	5	8054	628
1357645971525694316	1033546	43236	5	10377	679
1357645972026469801	1075455	41485	5	8694	596
1357645972527275535	1025348	41506	5	8822	608
1357645973028308436	1043762	41515	5	8822	612
1357645973529043129	1035999	41019	5	8756	610
1357645974029795363	1261073	89798	6	18605	1693
1357645974530559140	1046058	37606	5	7279	617
1357645975031280958	1043515	45188	5	10034	666
1357645975532009901	1073379	42316	5	10000	645
1357645976032710969	1108377	40576	5	7698	599
1357645976533474204	588480	41514	5	9924	649
1357645977034183355	563845	41523	5	8815	619
1357645977534884549	564890	40998	5	8781	602
1357645978039441645	740690	81862	6	17024	1664
1357645978540161547	575182	45765	5	9988	655
1357645979041034031	564944	43210	5	9184	644
1357645979541748933	573381	43142	5	8841	612
1357645980042449376	622662	41458	5	9076	657
