Start:	1428538651345588369
Event1 Name:	r0FF
Event2 Name:	r01B
Event3 Name:	r073
Event4 Name:	r075
Event5 Name:	r004
Event6 Name:	r016
Event7 Name:	r017
     0.500243982	693530369	r0FF
     0.500243982	1177752	r01B
     0.500243982	156606	r073
     0.500243982	0	r075
     0.500243982	77691180	r004
     0.500243982	1177762	r016
     0.500243982	156623	r017
     1.000930463	700966571	r0FF
     1.000930463	649718	r01B
     1.000930463	5703	r073
     1.000930463	0	r075
     1.000930463	76028566	r004
     1.000930463	649704	r016
     1.000930463	5697	r017
     1.501487319	700781264	r0FF
     1.501487319	655334	r01B
     1.501487319	4449	r073
     1.501487319	0	r075
     1.501487319	76037035	r004
     1.501487319	655348	r016
     1.501487319	4448	r017
     2.002036509	700770049	r0FF
     2.002036509	677987	r01B
     2.002036509	16530	r073
     2.002036509	0	r075
     2.002036509	75911274	r004
     2.002036509	677991	r016
     2.002036509	16536	r017
     2.502583282	700767164	r0FF
     2.502583282	646674	r01B
     2.502583282	4452	r073
     2.502583282	0	r075
     2.502583282	75968555	r004
     2.502583282	646700	r016
     2.502583282	4448	r017
     3.003233513	700911538	r0FF
     3.003233513	437743	r01B
     3.003233513	14522	r073
     3.003233513	0	r075
     3.003233513	76319464	r004
     3.003233513	437706	r016
     3.003233513	14527	r017
     3.503911036	700948661	r0FF
     3.503911036	581222	r01B
     3.503911036	4569	r073
     3.503911036	0	r075
     3.503911036	76144103	r004
     3.503911036	581235	r016
     3.503911036	4564	r017
     4.004566142	700917788	r0FF
     4.004566142	640492	r01B
     4.004566142	4508	r073
     4.004566142	0	r075
     4.004566142	75967174	r004
     4.004566142	640492	r016
     4.004566142	4508	r017
     4.505218789	700915930	r0FF
     4.505218789	615630	r01B
     4.505218789	3894	r073
     4.505218789	0	r075
     4.505218789	75933630	r004
     4.505218789	615637	r016
     4.505218789	3890	r017
     5.005917020	700978103	r0FF
     5.005917020	715166	r01B
     5.005917020	10576	r073
     5.005917020	0	r075
     5.005917020	75998175	r004
     5.005917020	715154	r016
     5.005917020	10584	r017
     5.506568210	700913087	r0FF
     5.506568210	451545	r01B
     5.506568210	4024	r073
     5.506568210	0	r075
     5.506568210	76288126	r004
     5.506568210	451541	r016
