Start:	1428519991565260481
Event1 Name:	r0FF
Event2 Name:	r01B
Event3 Name:	r073
Event4 Name:	r075
Event5 Name:	r004
Event6 Name:	r016
Event7 Name:	r017
    16.032693401	51175303	r073
    16.032693401	2969830	r075
    16.032693401	40047003	r004
    16.032693401	145846	r016
    16.032693401	2814	r017
    16.533543364	350595368	r0FF
    16.533543364	115122891	r01B
    16.533543364	51149659	r073
    16.533543364	2958014	r075
    16.533543364	39987917	r004
    16.533543364	224008	r016
    16.533543364	5755	r017
    17.034356701	350570154	r0FF
    17.034356701	115023021	r01B
    17.034356701	51090869	r073
    17.034356701	2958967	r075
    17.034356701	39959670	r004
    17.034356701	230931	r016
    17.034356701	5418	r017
    17.535217956	350604638	r0FF
    17.535217956	115148298	r01B
    17.535217956	51144243	r073
    17.535217956	2963177	r075
    17.535217956	40003750	r004
    17.535217956	192954	r016
    17.535217956	4195	r017
    18.036045835	350581648	r0FF
    18.036045835	115172831	r01B
    18.036045835	51146780	r073
    18.036045835	2965980	r075
    18.036045835	40015193	r004
    18.036045835	171125	r016
    18.036045835	3804	r017
    18.536846090	350560535	r0FF
    18.536846090	115055346	r01B
    18.536846090	51117565	r073
    18.536846090	2956642	r075
    18.536846090	39964817	r004
    18.536846090	236805	r016
    18.536846090	5954	r017
    19.037697886	350595442	r0FF
    19.037697886	115037722	r01B
    19.037697886	51097866	r073
    19.037697886	2959432	r075
    19.037697886	39962422	r004
    19.037697886	230098	r016
    19.037697886	5385	r017
    19.538618890	350645589	r0FF
    19.538618890	115264074	r01B
    19.538618890	51179796	r073
    19.538618890	2970390	r075
    19.538618890	40049786	r004
    19.538618890	136799	r016
    19.538618890	2772	r017
    20.039471436	350597215	r0FF
    20.039471436	115082163	r01B
    20.039471436	51121977	r073
    20.039471436	2958920	r075
    20.039471436	39973371	r004
    20.039471436	228011	r016
    20.039471436	5761	r017
    20.540282608	350570054	r0FF
    20.540282608	115064481	r01B
    20.540282608	51118418	r073
    20.540282608	2957362	r075
    20.540282608	39965352	r004
    20.540282608	235014	r016
    20.540282608	5534	r017
    21.041139237	350601496	r0FF
    21.041139237	115139917	r01B
    21.041139237	51128076	r073
    21.041139237	2965942	r075
    21.041139237	40004748	r004
    21.041139237	179064	r016
    21.041139237	3703	r017
    21.541984617	350592358	r0FF
    21.541984617	115172834	r01B
    21.541984617	51154551	r073
    21.541984617	2963786	r075
    21.541984617	40011157	r004
    21.541984617	184246	r016
    21.541984617	4241	r017
    22.042870705	350620804	r0FF
    22.042870705	115067962	r01B
    22.042870705	51119277	r073
    22.042870705	2958196	r075
    22.042870705	39972924	r004
    22.042870705	233609	r016
    22.042870705	6321	r017
    22.543694085	350577536	r0FF
    22.543694085	115143168	r01B
    22.543694085	51164839	r073
    22.543694085	2956546	r075
    22.543694085	39993726	r004
    22.543694085	233079	r016
    22.543694085	5337	r017
    23.044544423	350596236	r0FF
    23.044544423	115243163	r01B
    23.044544423	51166019	r073
    23.044544423	2970410	r075
    23.044544423	40043795	r004
    23.044544423	137848	r016
    23.044544423	2700	r017
    23.545366427	350574325	r0FF
    23.545366427	115064446	r01B
    23.545366427	51119312	r073
    23.545366427	2957210	r075
    23.545366427	39969430	r004
    23.545366427	235157	r016
    23.545366427	6195	r017
    24.046193474	350580205	r0FF
    24.046193474	115031504	r01B
    24.046193474	51097895	r073
    24.046193474	2958530	r075
    24.046193474	39959834	r004
    24.046193474	231720	r016
    24.046193474	5997	r017
    24.547304686	350779187	r0FF
    24.547304686	115214850	r01B
    24.547304686	51165706	r073
    24.547304686	2966716	r075
    24.547304686	40027440	r004
    24.547304686	171453	r016
    24.547304686	3321	r017
    25.048252858	350663142	r0FF
    25.048252858	115174094	r01B
    25.048252858	51156534	r073
    25.048252858	2963343	r075
    25.048252858	40014220	r004
    25.048252858	195405	r016
    25.048252858	4589	r017
    25.549054904	350565198	r0FF
    25.549054904	115051558	r01B
    25.549054904	51112259	r073
    25.549054904	2957306	r075
    25.549054904	39962294	r004
    25.549054904	233898	r016
    25.549054904	6126	r017
    26.049893909	350587923	r0FF
    26.049893909	115058180	r01B
    26.049893909	51100875	r073
    26.049893909	2961154	r075
    26.049893909	39974340	r004
    26.049893909	214191	r016
    26.049893909	4799	r017
    26.550753289	350603122	r0FF
    26.550753289	115296362	r01B
    26.550753289	51207946	r073
    26.550753289	2967223	r075
    26.550753289	40057409	r004
    26.550753289	150685	r016
    26.550753289	2807	r017
    27.051644211	350624065	r0FF
    27.051644211	115064997	r01B
    27.051644211	51118515	r073
    27.051644211	2957984	r075
    27.051644211	39967962	r004
    27.051644211	231611	r016
    27.051644211	5931	r017
    27.552556882	350601937	r0FF
    27.552556882	115092130	r01B
    27.552556882	51136652	r073
    27.552556882	2956736	r075
    27.552556882	39980137	r004
    27.552556882	236709	r016
    27.552556882	6112	r017
    28.053411595	350635103	r0FF
    28.053411595	115202994	r01B
    28.053411595	51156314	r073
    28.053411595	2967637	r075
    28.053411595	40020655	r004
    28.053411595	161000	r016
    28.053411595	3181	r017
    28.554257767	350593565	r0FF
    28.554257767	115136075	r01B
    28.554257767	51140365	r073
    28.554257767	2961800	r075
    28.554257767	39995279	r004
    28.554257767	202770	r016
    28.554257767	4700	r017
    29.055106647	350594020	r0FF
    29.055106647	115051085	r01B
    29.055106647	51109879	r073
    29.055106647	2957974	r075
    29.055106647	39966574	r004
    29.055106647	233662	r016
    29.055106647	6010	r017
    29.556060527	350663157	r0FF
    29.556060527	115134140	r01B
    29.556060527	51142187	r073
    29.556060527	2961330	r075
    29.556060527	39995009	r004
    29.556060527	211162	r016
    29.556060527	4945	r017
    30.056941782	350624585	r0FF
    30.056941782	115222824	r01B
    30.056941782	51161615	r073
    30.056941782	2969288	r075
    30.056941782	40033849	r004
    30.056941782	152742	r016
    30.056941782	3132	r017
    30.557820620	350617832	r0FF
    30.557820620	115103963	r01B
    30.557820620	51144098	r073
    30.557820620	2956336	r075
    30.557820620	39978918	r004
    30.557820620	237390	r016
    30.557820620	5894	r017
    31.058676084	350596868	r0FF
    31.058676084	115034434	r01B
    31.058676084	51095782	r073
    31.058676084	2959022	r075
    31.058676084	39960144	r004
    31.058676084	230857	r016
    31.058676084	5863	r017
    31.559535672	350604363	r0FF
    31.559535672	115238431	r01B
    31.559535672	51171461	r073
    31.559535672	2968374	r075
    31.559535672	40037053	r004
    31.559535672	151541	r016
    31.559535672	2866	r017
    32.060473719	350630946	r0FF
