Start:	1420065283186010545
Event1 Name:	r011
Event2 Name:	r004
Event3 Name:	r014
Event4 Name:	r008
Event5 Name:	r013
    22.605623737	190843896	r008
    22.605623737	4835993	r013
    23.108357164	32702229	r011
    23.108357164	32681371	r004
    23.108357164	84759852	r014
    23.108357164	148239005	r008
    23.108357164	32703730	r013
    23.610479926	12204921	r011
    23.610479926	12179950	r004
    23.610479926	70115217	r014
    23.610479926	189470444	r008
    23.610479926	12204545	r013
    24.112557980	5027625	r011
    24.112557980	5004553	r004
    24.112557980	69144985	r014
    24.112557980	205280759	r008
    24.112557980	5026500	r013
    24.614830909	17948752	r011
    24.614830909	17925766	r004
    24.614830909	84413004	r014
    24.614830909	157259697	r008
    24.614830909	17948752	r013
    25.117222629	28642388	r011
    25.117222629	28604263	r004
    25.117222629	69852132	r014
    25.117222629	152680596	r008
    25.117222629	28642388	r013
    25.619933098	5150143	r011
    25.619933098	5126393	r004
    25.619933098	69284987	r014
    25.619933098	205399125	r008
    25.619933098	5150143	r013
    26.121897152	4853468	r011
    26.121897152	4830691	r004
    26.121897152	78813395	r014
    26.121897152	183557108	r008
    26.121897152	4853468	r013
    26.624271747	38581981	r011
    26.624271747	38557231	r004
    26.624271747	77859152	r014
    26.624271747	142055924	r008
    26.624271747	38581981	r013
    27.126921800	6563063	r011
    27.126921800	6538342	r004
    27.126921800	70402954	r014
    27.126921800	204428959	r008
    27.126921800	6563063	r013
    27.629348520	5360642	r011
    27.629348520	5337476	r004
    27.629348520	71876458	r014
    27.629348520	199486763	r008
    27.629348520	5360642	r013
    28.131905240	24577925	r011
    28.131905240	24552765	r004
    28.131905240	79269357	r014
    28.131905240	144931976	r008
    28.131905240	24577925	r013
    28.634276751	20180998	r011
    28.634276751	20158189	r004
    28.634276751	75663359	r014
    28.634276751	184717748	r008
    28.634276751	20180998	r013
    29.136367555	5287149	r011
    29.136367555	5265586	r004
    29.136367555	70462988	r014
    29.136367555	208627187	r008
    29.136367555	5287149	r013
    29.638931942	10910270	r011
    29.638931942	10885919	r004
    29.638931942	80106358	r014
    29.638931942	161691622	r008
    29.638931942	10910270	r013
    30.141364161	37705992	r011
    30.141364161	37629530	r004
    30.141364161	72369315	r014
    30.141364161	130678370	r008
    30.141364161	37705992	r013
    30.768638803	12352161	r011
    30.768638803	12289518	r004
    30.768638803	81058125	r014
    30.768638803	223393672	r008
    30.768638803	12352161	r013
    31.271658563	5002031	r011
    31.271658563	4977180	r004
    31.271658563	69566501	r014
    31.271658563	190301433	r008
    31.271658563	5002031	r013
    31.774504990	29806696	r011
    31.774504990	29785880	r004
    31.774504990	85839121	r014
    31.774504990	153772496	r008
    31.774504990	29806696	r013
    32.277215876	15932630	r011
    32.277215876	15901264	r004
    32.277215876	70715105	r014
    32.277215876	177661162	r008
    32.277215876	15932630	r013
    32.780439011	5448202	r011
    32.780439011	5423063	r004
    32.780439011	66745643	r014
    32.780439011	198092897	r008
    32.780439011	5448202	r013
    33.283129772	12114221	r011
    33.283129772	12092105	r004
    33.283129772	87000219	r014
    33.283129772	171848225	r008
    33.283129772	12121218	r013
    33.785489742	32458284	r011
    33.785489742	32433058	r004
    33.785489742	73583598	r014
    33.785489742	155631708	r008
    33.785489742	32451287	r013
    34.288221878	5639986	r011
    34.288221878	5614555	r004
    34.288221878	66513945	r014
    34.288221878	196593064	r008
    34.288221878	5648743	r013
